"","X.5","X.4","X.3","X.2","X.1","immigrant_code","group","degree","strength","strength_assoc","eigenvector_centrality","total_scans","total_dyads","X","Mother","BirthGp","DOB","ImmigrationGp1","DateImmigration1","LastSeen1","Tenure","third_birthday","mother_present_all_3_years","mother_days_present","Momcode","mom_present_birth","found_days_birth","mother_avg_elo","ImmigBirthday1","IsPresentOnBirthday","HasConflictsAfterImmig","ConflictCountAfterImmig","elo_one_year_all","elo_one_year_male_male","elo_rating_date_one_year_all","elo_rating_date_one_year_male_male","n_conflicts_one_year_all","n_conflicts_one_year_male_male","elo_end_tenure_all","elo_end_tenure_male_male","elo_rating_date_end_tenure_all","elo_rating_date_end_tenure_male_male","n_conflicts_end_tenure_all","n_conflicts_end_tenure_male_male","immigration_birthday","days_diff_one_year_all","days_diff_one_year_male_male","days_diff_end_tenure_all","days_diff_end_tenure_male_male","degree_normalized"
"70",70,70,70,70,70,"can","NH",NA,NA,NA,NA,NA,432,70,NA,NA,NA,"NH","2013-06-28","2016-02-25",972,NA,NA,NA,NA,FALSE,0,NA,"2014-06-28",TRUE,TRUE,4,0.37,0.024,"2014-01-03","2014-01-03",5,4,0.397,0,"2015-08-21","2015-08-21",6,5,"2014-06-28",176,176,188,188,NA
"71",71,71,71,71,71,"uji","Jacaranda",NA,NA,NA,NA,NA,NA,71,"Uppsala","NH","2013-10-31","Jacaranda","2018-05-26","2018-05-26",0,"2016-10-31",TRUE,1097,"upps",TRUE,1097,0.681,"2019-05-26",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2019-05-26",NA,NA,NA,NA,NA
"72",72,72,72,72,72,"avo","NH",1,1,0.5,0.707027283725522,1,22,72,"Amazon","KB","2013-11-11","NH","2018-05-14","2018-06-12",29,"2016-11-11",FALSE,561,"amaz",FALSE,561,0.497,"2019-05-14",TRUE,TRUE,1,0.387,0,"2018-05-31","2018-05-31",2,1,0.387,0,"2018-05-31","2018-05-31",2,1,"2019-05-14",348,348,12,12,0.024390243902439
"73",73,73,73,73,73,"gla","Jacaranda",NA,NA,NA,NA,NA,NA,73,"Geneva","NH","2013-11-12","Jacaranda","2018-05-28","2018-05-28",0,"2016-11-12",TRUE,1097,"gene",TRUE,1097,0.94,"2019-05-28",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2019-05-28",NA,NA,NA,NA,NA
"74",74,74,74,74,74,"yan","NH",18,21,0.527047486443415,0.490613581377914,17,283,74,"Yenissei","KB","2013-01-01","NH","2018-05-14","2020-01-27",623,"2016-01-01",TRUE,1096,"yeni",TRUE,1096,NA,"2019-05-14",TRUE,TRUE,13,0.219,0,"2019-05-11","2019-04-10",39,13,0.438,0,"2019-12-02","2019-08-17",47,19,"2019-05-14",3,34,56,163,0.428571428571429
"75",75,75,75,75,75,"jag","BD",9,11,0.171958490250813,0.154451406651351,10,799,75,NA,NA,NA,"BD","2014-05-08","2015-01-10",247,NA,NA,NA,NA,FALSE,0,NA,"2015-05-08",FALSE,TRUE,2,0.461,0.595,"2014-12-23","2014-12-23",2,2,0.461,0.595,"2014-12-23","2014-12-23",2,2,"2015-05-08",136,136,18,18,0.155172413793103
"76",76,76,76,76,76,"dow","LT",NA,NA,NA,NA,NA,NA,76,NA,NA,NA,"LT","2014-05-28","2014-07-09",42,NA,NA,NA,NA,FALSE,0,NA,"2015-05-28",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2015-05-28",NA,NA,NA,NA,NA
"77",77,77,77,77,77,"umz","AK",3,4,0.200358851674641,0.0557067780028163,4,466,77,NA,NA,NA,"AK","2014-06-09","2015-09-12",460,NA,NA,NA,NA,FALSE,0,NA,"2015-06-09",TRUE,TRUE,5,0.167,0,"2015-06-02","2015-06-02",5,5,0.167,0,"2015-06-02","2015-06-02",5,5,"2015-06-09",7,7,102,102,0.0697674418604651
"78",78,78,78,78,78,"dap","BD",23,30,0.403988175893005,0.322382802953794,22,850,78,NA,NA,NA,"BD","2014-07-01","2016-01-27",575,NA,NA,NA,NA,FALSE,0,NA,"2015-07-01",TRUE,TRUE,1,0.376,0.393,"2015-04-25","2015-04-25",1,1,0.349,0.341,"2015-11-27","2015-07-18",5,2,"2015-07-01",67,67,61,193,0.370967741935484
"79",79,79,79,79,79,"ada","LT",11,11,0.470418582056513,0.146163834667078,11,486,79,NA,NA,NA,"LT","2014-08-14","2016-11-14",823,NA,NA,NA,NA,FALSE,0,NA,"2015-08-14",TRUE,TRUE,3,0.385,0,"2015-06-26","2015-06-26",5,3,0.181,0,"2016-10-11","2016-10-11",13,10,"2015-08-14",49,49,34,34,0.25
"80",80,80,80,80,80,"gaa","CR",NA,NA,NA,NA,NA,NA,80,"Gesels","BD","2014-10-20","CR","2019-06-18","2019-06-18",0,"2017-10-20",TRUE,1097,"gese",TRUE,1097,0.44,"2020-06-17",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2020-06-17",NA,NA,NA,NA,NA
"81",81,81,81,81,81,"mat","BD",38,48,0.83581492725573,0.69342570767024,37,662,81,"Mamoobi","AK","2014-10-21","BD","2020-02-17","2021-01-30",348,"2017-10-21",TRUE,1097,"mamo",TRUE,1097,0.137,"2021-02-16",TRUE,TRUE,16,0.495,0.24,"2021-01-13","2021-01-13",21,16,0.495,0.24,"2021-01-13","2021-01-13",21,16,"2021-02-16",34,34,17,17,0.612903225806452
"82",82,82,82,82,82,"hei","CR",NA,NA,NA,NA,NA,NA,82,"Heerlik","BD","2014-10-31","CR","2021-04-01","2021-04-02",1,"2017-10-31",TRUE,1097,"heer",TRUE,1097,0.488,"2022-04-01",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2022-04-01",NA,NA,NA,NA,NA
"83",83,83,83,83,83,"ihl","IF",NA,NA,NA,NA,NA,NA,83,"Isilonda","AK","2014-11-03","IF","2016-04-29","2017-04-07",343,"2017-11-03",FALSE,887,"isil",FALSE,887,0.264,"2017-04-29",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2017-04-29",NA,NA,NA,NA,NA
"84",84,84,84,84,84,"ted","BD",NA,NA,NA,NA,NA,596,84,"Chiloe","CR","2014-11-12","BD","2019-05-25","2022-05-19",1090,"2017-11-12",FALSE,1042,"chil",TRUE,1042,NA,"2020-05-24",TRUE,TRUE,26,0.305,0,"2020-05-09","2020-05-09",41,26,0.085,0,"2022-05-10","2022-05-10",108,67,"2020-05-24",15,15,9,9,NA
"85",85,85,85,85,85,"obe","CR",NA,NA,NA,NA,NA,NA,85,"Oulik","BD","2014-11-15","CR","2020-08-06","2022-02-22",565,"2017-11-15",TRUE,1097,"ouli",TRUE,1097,0.988,"2021-08-06",TRUE,TRUE,2,0,0,"2021-06-23","2021-06-23",2,2,0.494,0,"2022-02-07","2022-02-07",8,4,"2021-08-06",44,44,15,15,NA
"86",86,86,86,86,86,"pro","BD",10,16,0.466822256334452,0.40046214579791,15,532,86,"Pretoria","NH","2014-11-19","BD","2019-07-13","2022-04-16",1008,"2017-11-19",TRUE,1097,"pret",TRUE,1097,0.426,"2020-07-12",TRUE,TRUE,12,0.633,0.412,"2020-07-08","2020-07-01",22,12,0.609,1,"2022-04-13","2022-04-13",57,30,"2020-07-12",4,11,3,3,0.151515151515152
"87",87,87,87,87,87,"tha","KB",NA,NA,NA,NA,NA,349,87,NA,NA,NA,"KB","2014-11-19","2015-08-26",280,NA,NA,NA,NA,FALSE,0,NA,"2015-11-19",FALSE,TRUE,8,0.684,0.582,"2015-06-29","2015-06-29",8,8,0.684,0.582,"2015-06-29","2015-06-29",8,8,"2015-11-19",143,143,58,58,NA
"88",88,88,88,88,88,"jap","CR",NA,NA,NA,NA,NA,NA,88,NA,NA,NA,"CR","2014-11-20","2015-05-15",176,NA,NA,NA,NA,FALSE,0,NA,"2015-11-20",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2015-11-20",NA,NA,NA,NA,NA
"89",89,89,89,89,89,"ker","CR",NA,NA,NA,NA,NA,NA,89,NA,NA,NA,"CR","2014-12-30","2015-05-26",147,NA,NA,NA,NA,FALSE,0,NA,"2015-12-30",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2015-12-30",NA,NA,NA,NA,NA
"90",90,90,90,90,90,"pal","BD",16,20,0.53504606946266,0.00811452152388984,17,387,90,NA,"CR","2012-01-01","BD","2016-12-07","2022-03-01",1910,"2015-01-01",NA,NA,NA,FALSE,0,NA,"2017-12-07",TRUE,TRUE,58,0.733,1,"2017-12-06","2017-12-06",95,58,0.75,1,"2022-02-07","2022-01-18",377,251,"2017-12-07",1,1,22,42,0.296296296296296
"91",91,91,91,91,91,"sol","CR",NA,NA,NA,NA,NA,NA,91,NA,NA,NA,"CR","2014-12-30","2017-01-28",760,NA,NA,NA,NA,FALSE,0,NA,"2015-12-30",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2015-12-30",NA,NA,NA,NA,NA
"92",92,92,92,92,92,"boc","CR",NA,NA,NA,NA,NA,NA,92,NA,NA,NA,"CR","2014-12-31","2017-01-21",752,NA,NA,NA,NA,FALSE,0,NA,"2015-12-31",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2015-12-31",NA,NA,NA,NA,NA
"93",93,93,93,93,93,"han","BD",9,9,0.422876272344357,0.00543220523489173,7,341,93,NA,"CR","2012-01-01","BD","2017-05-06","2020-03-04",1033,"2015-01-01",NA,NA,NA,FALSE,0,NA,"2018-05-06",TRUE,TRUE,25,0.391,0.073,"2018-04-18","2018-04-06",32,25,0.401,0.079,"2020-02-26","2020-02-26",91,68,"2018-05-06",18,30,7,7,0.152542372881356
"94",94,94,94,94,94,"mac","CR",NA,NA,NA,NA,NA,NA,94,NA,NA,NA,"CR","2014-12-31","2016-05-20",506,NA,NA,NA,NA,FALSE,0,NA,"2015-12-31",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2015-12-31",NA,NA,NA,NA,NA
"95",95,95,95,95,95,"sey","BD",22,31,0.530818076051887,0.564782116013793,28,608,95,"Samoa","CR","2014-01-01","BD","2019-05-21","2024-03-07",1752,"2017-01-01",FALSE,733,"samo",TRUE,733,NA,"2020-05-20",TRUE,TRUE,12,0.461,0.209,"2020-04-03","2020-04-03",25,12,0.752,0.909,"2024-02-13","2023-12-05",169,77,"2020-05-20",47,47,23,93,0.318840579710145
"96",96,96,96,96,96,"hen","CR",NA,NA,NA,NA,NA,NA,96,NA,NA,NA,"CR","2015-01-06","2015-05-26",140,NA,NA,NA,NA,FALSE,0,NA,"2016-01-06",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2016-01-06",NA,NA,NA,NA,NA
"97",97,97,97,97,97,"xiu","CR",NA,NA,NA,NA,NA,NA,97,NA,NA,NA,"CR","2015-11-13","2023-04-03",2698,NA,NA,NA,NA,FALSE,0,NA,"2016-11-12",TRUE,FALSE,0,NA,NA,NA,NA,0,0,1,1,"2022-05-17","2022-05-17",9,5,"2016-11-12",NA,NA,321,321,NA
"98",98,98,98,98,98,"bas","BD",NA,NA,NA,NA,NA,NA,98,NA,"CR",NA,"BD","2017-05-05","2021-02-19",1386,NA,NA,NA,NA,FALSE,0,NA,"2018-05-05",TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.773,0.647,"2021-01-21","2021-01-21",55,40,"2018-05-05",NA,NA,29,29,NA
"99",99,99,99,99,99,"olo","KB",NA,NA,NA,NA,NA,161,99,NA,NA,NA,"KB","2015-04-03","2015-05-25",52,NA,NA,NA,NA,FALSE,0,NA,"2016-04-02",FALSE,TRUE,2,0.682,0.864,"2015-05-25","2015-05-25",2,2,0.682,0.864,"2015-05-25","2015-05-25",2,2,"2016-04-02",313,313,0,0,NA
"100",100,100,100,100,100,"ati","KB",11,16,0.318588549599657,0.200759962988602,10,265,100,NA,NA,NA,"KB","2015-04-28","2016-01-25",272,NA,NA,NA,NA,FALSE,0,NA,"2016-04-27",TRUE,TRUE,2,0.632,1,"2015-12-17","2015-12-17",2,2,0.632,1,"2015-12-17","2015-12-17",2,2,"2016-04-27",132,132,39,39,0.458333333333333
"101",101,101,101,101,101,"lif","KB",19,123,0.61081461720836,0.591993842156588,81,301,101,NA,NA,NA,"KB","2015-04-28","2021-05-31",2225,NA,NA,NA,NA,FALSE,0,NA,"2016-04-27",TRUE,TRUE,9,1,0.332,"2016-04-19","2015-11-03",25,9,1,0.332,"2021-05-31","2015-11-03",105,9,"2016-04-27",8,176,0,2036,0.826086956521739
"102",102,102,102,102,102,"oka","KB",NA,NA,NA,NA,NA,132,102,NA,NA,NA,"KB","2015-05-04","2015-10-29",178,NA,NA,NA,NA,FALSE,0,NA,"2016-05-03",FALSE,TRUE,4,0.605,0.573,"2015-08-03","2015-08-03",4,4,0.605,0.573,"2015-08-03","2015-08-03",4,4,"2016-05-03",274,274,87,87,NA
"103",103,103,103,103,103,"wes","LT",NA,NA,NA,NA,NA,NA,103,NA,NA,"2015-05-20","LT","2015-05-20","2018-02-20",1007,"2018-05-20",NA,NA,NA,FALSE,0,NA,"2016-05-19",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2016-05-19",NA,NA,NA,NA,NA
"104",104,104,104,104,104,"col","KB",7,12,0.196946348022685,0.169608901842155,10,233,104,NA,NA,NA,"KB","2015-05-25","2016-05-11",352,NA,NA,NA,NA,FALSE,0,NA,"2016-05-24",TRUE,TRUE,4,0,0,"2015-12-17","2015-12-17",4,4,0,0,"2015-12-17","2015-12-17",4,4,"2016-05-24",159,159,146,146,0.291666666666667
"105",105,105,105,105,105,"van","CR",NA,NA,NA,NA,NA,NA,105,NA,NA,NA,"CR","2015-09-01","2018-05-28",1000,NA,NA,NA,NA,FALSE,0,NA,"2016-08-31",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2016-08-31",NA,NA,NA,NA,NA
"106",106,106,106,106,106,"pia","CR",NA,NA,NA,NA,NA,NA,106,NA,NA,NA,"CR","2015-09-26","2016-07-15",293,NA,NA,NA,NA,FALSE,0,NA,"2016-09-25",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2016-09-25",NA,NA,NA,NA,NA
"107",107,107,107,107,107,"zav","CR",NA,NA,NA,NA,NA,NA,107,NA,NA,NA,"CR","2015-10-28","2017-02-17",478,NA,NA,NA,NA,FALSE,0,NA,"2016-10-27",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2016-10-27",NA,NA,NA,NA,NA
"108",108,108,108,108,108,"ula","IF",NA,NA,NA,NA,NA,NA,108,"Uppsala","NH","2015-11-16","IF","2020-12-09","2021-01-15",37,"2018-11-16",TRUE,1097,"upps",TRUE,1097,0.71,"2021-12-09",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2021-12-09",NA,NA,NA,NA,NA
"109",109,109,109,109,109,"pru","IF",NA,NA,NA,NA,NA,NA,109,"Pretoria","NH","2015-11-23","IF","2020-12-09","2024-02-20",1168,"2018-11-23",TRUE,1097,"pret",TRUE,1097,0.42,"2021-12-09",TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.891,0,"2024-01-18","2023-03-24",5,1,"2021-12-09",NA,NA,33,333,NA
"110",110,110,110,110,110,"rey","IF",NA,NA,NA,NA,NA,NA,110,"Reva","NH","2015-11-23","IF","2020-12-09","2022-05-22",529,"2018-11-23",TRUE,1097,"reva",TRUE,1097,0.129,"2021-12-09",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2021-12-09",NA,NA,NA,NA,NA
"111",111,111,111,111,111,"kau","CR",NA,NA,NA,NA,NA,NA,111,NA,NA,NA,"CR","2015-11-28","2017-01-04",403,NA,NA,NA,NA,FALSE,0,NA,"2016-11-27",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2016-11-27",NA,NA,NA,NA,NA
"112",112,112,112,112,112,"yel","CR",NA,NA,NA,NA,NA,NA,112,NA,NA,NA,"CR","2015-11-28","2017-01-03",402,NA,NA,NA,NA,FALSE,0,NA,"2016-11-27",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2016-11-27",NA,NA,NA,NA,NA
"113",113,113,113,113,113,"rat","LT",18,35,0.560572922891317,0.567515341650374,31,224,113,"Rissiepit","BD","2015-11-30","LT","2021-05-21","2021-12-18",211,"2018-11-30",TRUE,1097,"riss",TRUE,1097,0.203,"2022-05-21",TRUE,TRUE,6,0.404,0.4,"2021-12-10","2021-12-10",11,6,0.404,0.4,"2021-12-10","2021-12-10",11,6,"2022-05-21",162,162,8,8,0.529411764705882
"114",114,114,114,114,114,"ber","SplitCR",NA,NA,NA,NA,NA,NA,114,"Barbados","CR","2014-01-01","SplitCR","2017-02-12","2017-04-10",57,"2017-01-01",FALSE,452,"barb",TRUE,452,NA,"2018-02-12",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2018-02-12",NA,NA,NA,NA,NA
"115",115,115,115,115,115,"umb","BD",NA,NA,NA,NA,NA,608,115,"Umnak","CR","2014-01-01","BD","2019-05-27","2023-12-23",1671,"2017-01-01",FALSE,691,"umna",TRUE,691,NA,"2020-05-26",TRUE,TRUE,16,0.571,0.35,"2020-05-25","2020-05-25",26,16,0.616,0.669,"2023-10-17","2023-07-07",106,60,"2020-05-26",1,1,67,169,NA
"116",116,116,116,116,116,"xia","BD",15,15,0.622801830522419,0.53023532567574,13,736,116,"Xian","NH","2016-11-14","BD","2022-02-14","2022-06-13",119,"2019-11-14",TRUE,1096,"xian",TRUE,1096,0.582,"2023-02-14",TRUE,TRUE,18,0.366,0.136,"2023-01-30","2023-01-30",42,18,0.343,0.11,"2022-06-13","2022-06-13",16,6,"2023-02-14",15,15,0,0,0.214285714285714
"117",117,117,117,117,117,"nge","BD",34,39,0.934425155193663,0.887419346597855,29,750,117,"Nkosikasi","AK","2016-11-18","BD","2022-02-07","2023-03-01",387,"2019-11-18",FALSE,0,NA,FALSE,0,NA,"2023-02-07",TRUE,TRUE,11,0.26,0,"2023-01-30","2023-01-30",31,11,0.26,0,"2023-01-30","2023-01-30",31,11,"2023-02-07",8,8,30,30,0.485714285714286
"118",118,118,118,118,118,"tyl","LT",NA,NA,NA,NA,NA,5,118,NA,NA,NA,"LT","2017-05-22","2018-02-07",261,NA,NA,NA,NA,FALSE,0,NA,"2018-05-22",FALSE,TRUE,1,0.374,0.117,"2017-08-30","2017-07-14",5,1,0.374,0.117,"2017-08-30","2017-07-14",5,1,"2018-05-22",265,312,161,208,NA
"119",119,119,119,119,120,"dok",NA,23,40,0.653905353353838,0.612164799554912,35,596,120,"Dulcina","CR","2014-01-01","BD","2019-05-30","2022-07-21",1148,"2017-01-01",FALSE,1,"dulc",FALSE,1,NA,"2020-05-29",TRUE,TRUE,10,0.561,0.316,"2020-05-20","2020-05-20",21,10,0.496,0.498,"2022-07-15","2022-06-30",66,41,"2020-05-29",9,9,6,21,0.333333333333333
"120",120,120,120,120,121,"fen",NA,8,10,0.418428507766743,7.66715303923255e-16,10,340,121,NA,NA,NA,"BD","2017-09-01","2020-01-10",861,NA,NA,NA,NA,FALSE,0,NA,"2018-09-01",TRUE,TRUE,14,0.476,0.326,"2018-08-04","2018-08-04",14,14,0.435,0.213,"2019-11-13","2019-11-13",39,26,"2018-09-01",28,28,58,58,0.133333333333333
"121",121,121,121,121,122,"kom",NA,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,"AK","2019-10-09","2019-10-09",0,NA,NA,NA,NA,FALSE,0,NA,"2020-10-08",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2020-10-08",NA,NA,NA,NA,NA
"122",122,122,122,122,123,"aar",NA,NA,NA,NA,NA,NA,9,123,"Aare","KB","2017-10-09","IF","2023-01-30","2023-10-01",244,"2020-10-09",TRUE,1097,"aare",TRUE,1097,0.406,"2024-01-30",FALSE,TRUE,4,1,1,"2023-06-16","2023-06-16",4,4,1,1,"2023-06-16","2023-06-16",4,4,"2024-01-30",228,228,107,107,NA
"123",123,123,123,123,124,"rocky",NA,NA,NA,NA,NA,NA,NA,124,"Rose-Mary","LT",NA,"LTsplit","2018-02-21","2018-03-03",10,NA,NA,NA,"rose",FALSE,0,NA,"2019-02-21",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2019-02-21",NA,NA,NA,NA,NA
"124",124,124,124,124,125,"xin",NA,16,16,0.628837331063497,0.377023409133806,15,668,125,"Xian","NH","2017-01-01","BD","2022-07-16","2024-11-25",863,"2020-01-01",TRUE,1096,"xian",TRUE,1096,0.593,"2023-07-16",TRUE,TRUE,14,0.319,0.136,"2023-07-11","2023-07-11",32,14,0.46,0.697,"2024-11-20","2024-11-20",63,35,"2023-07-16",5,5,5,5,0.213333333333333
"125",125,125,125,125,126,"nak",NA,32,42,0.846186941002549,0.667282265852536,36,736,126,"Nkosikasi","AK","2017-10-31","BD","2022-05-06","2023-12-28",601,"2020-10-31",FALSE,0,NA,FALSE,0,NA,"2023-05-06",TRUE,TRUE,18,0.552,0.767,"2023-05-04","2023-04-14",50,18,0.644,0.89,"2023-12-14","2023-12-08",67,30,"2023-05-06",2,22,14,20,0.447552447552448
"126",126,126,126,126,127,"bkay17",NA,NA,NA,NA,NA,NA,NA,127,"Kaya","LT","2017-11-04","LTsplit","2018-02-21","2018-03-03",10,"2020-11-04",FALSE,120,"kaya",FALSE,120,0.155,"2019-02-21",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2019-02-21",NA,NA,NA,NA,NA
"127",127,127,127,127,128,"pun",NA,NA,NA,NA,NA,NA,NA,128,NA,NA,"2018-03-02","BD","2018-03-02","2018-07-24",144,"2021-03-02",NA,NA,NA,FALSE,0,NA,"2019-03-02",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2019-03-02",NA,NA,NA,NA,NA
"128",128,128,128,128,129,"cus",NA,4,5,0.359203296703297,0.350159962538445,5,125,129,NA,NA,NA,"NH","2018-05-21","2018-12-17",210,NA,NA,NA,NA,FALSE,0,NA,"2019-05-21",TRUE,TRUE,13,0.55,0.211,"2018-11-24","2018-11-22",21,13,0.55,0.211,"2018-11-24","2018-11-22",21,13,"2019-05-21",178,180,23,25,0.108108108108108
"129",129,129,129,129,130,"osc",NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,"LT","2018-06-07","2019-02-06",244,NA,NA,NA,NA,FALSE,0,NA,"2019-06-07",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2019-06-07",NA,NA,NA,NA,NA
"130",130,130,130,130,131,"ben",NA,7,8,0.736117477293948,0.215892756946737,6,91,131,NA,NA,NA,"LT","2018-06-08","2020-07-18",771,NA,NA,NA,NA,FALSE,0,NA,"2019-06-08",TRUE,FALSE,0,0.515,NA,"2019-06-08",NA,10,0,0.924,0.601,"2020-05-26","2020-05-26",27,8,"2019-06-08",0,NA,53,53,0.259259259259259
"131",131,131,131,131,132,"guz",NA,NA,NA,NA,NA,NA,NA,132,"Gugu","AK","2018-10-01","IF","2023-05-22","2024-04-17",331,"2021-10-01",FALSE,900,"gugu",FALSE,900,0.91,"2024-05-21",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2024-05-21",NA,NA,NA,NA,NA
"132",132,132,132,132,133,"yaz",NA,8,10,0.687475024975025,0.188265426196518,8,207,133,"Yalu","KB","2018-11-14","BD","2024-04-24","2025-01-09",260,"2021-11-14",FALSE,794,"yalu",FALSE,794,0.985,"2025-04-24",FALSE,TRUE,11,0.464,0.465,"2024-12-17","2024-12-17",16,11,0.464,0.465,"2024-12-17","2024-12-17",16,11,"2025-04-24",128,128,23,23,0.19047619047619
"133",133,133,133,133,134,"gil",NA,NA,NA,NA,NA,NA,NA,134,"Ginqinka","AK","2018-11-20","IF","2023-05-22","2024-09-05",472,"2021-11-20",TRUE,1097,"ginq",TRUE,1097,0.698,"2024-05-21",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2024-05-21",NA,NA,NA,NA,NA
"134",134,134,134,134,135,"non",NA,NA,NA,NA,NA,NA,NA,135,"Nooiens","BD","2018-11-22","PR","2024-01-31","2024-01-31",0,"2021-11-22",TRUE,1097,"nooi",TRUE,1097,0.452,"2025-01-30",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2025-01-30",NA,NA,NA,NA,NA
"135",135,135,135,135,136,"dal",NA,16,18,0.748012199565235,1.90866238876605e-15,17,431,136,"Daenerys","LT","2018-11-28","BD","2023-04-25","2024-09-19",513,"2021-11-28",TRUE,1097,"daen",TRUE,1097,0.724,"2024-04-24",TRUE,TRUE,8,0.158,0.063,"2024-04-15","2024-01-06",18,8,0.13,0.1,"2024-05-06","2024-05-06",20,10,"2024-04-24",9,109,136,136,0.207792207792208
"136",136,136,136,136,137,"geo",NA,6,11,0.337483261419432,0.248215173115953,11,206,137,NA,NA,NA,"LT","2019-03-18","2022-03-18",1096,NA,NA,NA,NA,FALSE,0,NA,"2020-03-17",TRUE,TRUE,1,0.721,NA,"2020-03-10","2020-03-10",2,1,0.659,NA,"2021-12-10","2021-12-10",21,11,"2020-03-17",7,7,98,98,0.230769230769231
"137",137,137,137,137,138,"was",NA,3,3,0.201111111111111,0.130009650625019,3,264,138,NA,NA,NA,"NH","2019-03-18","2020-02-26",345,NA,NA,NA,NA,FALSE,0,NA,"2020-03-17",FALSE,TRUE,1,0.538,0.225,"2019-08-30","2019-08-30",1,1,0.538,0.225,"2019-08-30","2019-08-30",1,1,"2020-03-17",200,200,180,180,0.0681818181818182
"138",138,138,138,138,139,"flu",NA,NA,NA,NA,NA,NA,666,139,NA,NA,NA,"BD","2019-04-30","2023-01-13",1354,NA,NA,NA,NA,FALSE,0,NA,"2020-04-29",TRUE,TRUE,8,0.549,0.488,"2020-03-21","2020-03-07",9,8,0.673,0.655,"2022-11-18","2022-11-18",71,53,"2020-04-29",39,53,56,56,NA
"139",139,139,139,139,140,"kek",NA,12,19,0.20667578077466,0.240901631451817,16,316,140,NA,NA,NA,"AK","2019-05-31","2020-04-18",323,NA,NA,NA,NA,FALSE,0,NA,"2020-05-30",TRUE,TRUE,1,0.53,0,"2020-04-01","2019-09-09",6,1,0.53,0,"2020-04-01","2019-09-09",6,1,"2020-05-30",59,264,17,222,0.413793103448276
"140",140,140,140,140,141,"lip",NA,NA,NA,NA,NA,NA,NA,141,NA,NA,NA,"NH","2019-06-01","2020-08-17",443,NA,NA,NA,NA,FALSE,0,NA,"2020-05-31",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2020-05-31",NA,NA,NA,NA,NA
"141",141,141,141,141,142,"oua",NA,23,48,0.606562377283199,0.614854812508094,39,341,142,NA,NA,NA,"NH","2019-06-03","2020-11-30",546,NA,NA,NA,NA,FALSE,0,NA,"2020-06-02",TRUE,TRUE,10,0.712,0.431,"2020-06-02","2020-05-27",28,10,0.954,1,"2020-11-17","2020-11-07",47,23,"2020-06-02",0,6,13,23,0.511111111111111
