"Nb","Individual","Code","Nicknames","Sex","EarMark","DOB","DOB Accuracy","FirstRecorded","DateAdult","PresentGp","BirthGp","Mother","Father","DepartureNatalGp","ImmigrationGp1","DateImmigration1","LastSeen1","ImmigrationGp2","DateImmigration2","LastSeen2","ImmigrationGp3","DateImmigration3","LastSeen3","ImmigrationGp4","DateImmigration4","LastSeen4","Reliable data","Comments"
"663","Bangalore","Bang",,"F",,"26/11/2020","day","26/11/2020",,,"NH","Bela-Bela",,,,,"20/02/2021",,,,,,,,,,,"Found dying. Bela was injured as well. Bite injuries. Confirmed dead 2 days after."
"905","Bangka","Ban",,"M",,"01/11/2023","month","10/11/2023",,,"CR","Bali",,"Still present",,,"Still present",,,,,,,,,,"Yes",
"398","Barbados","Barb",,"F",,,,"08/10/2015",,,"CR",,,,"SplitCR",,"10/04/2017",,,,,,,,,,,
"430","Bari","Bari",,"F",,"18/11/2015","day","18/11/2015",,,"NH","Bogota",,"13/04/2016","Iceland",,"13/04/2016",,,,,,,,,,,"Prob Split group? not ID'd in Iceland after split"
"766","Barry","Barr",,"F",,"01/01/2020","year","28/07/2021","28/10/2024","CR","CR","Bali",,,,,,,,,,,,,,,"Yes",
"384","Base","Bas",,"M",,,,"25/02/2015",,,"CR",,,"29/04/2017","BD","05/05/2017","19/02/2021",,,,,,,,,,,"Last seen in BD on 19/02/2021"
"881","BBAara23","BBAara23",,,,"24/09/2023","day","24/09/2023",,,"KB","Aaragon",,,,,"26/09/2023",,,,,,,,,,"No",
"880","BBAare23","BBAare23",,,,"25/09/2023","day","26/09/2023",,,"KB","Aare",,,,,"27/09/2023",,,,,,,,,,"No",
"828","BBBali22","BBBali22",,"M",,"01/11/2022","month","06/12/2022",,,"CR","Bali",,,,,"23/03/2023",,,,,,,,,,"No",
"887","BBCirc23","BBCirc23",,,,"05/10/2023","day","06/10/2023",,,"IF","Circe",,,,,"07/10/2023",,,,,,,,,,"No",
"912","BBDaen23","BBDaen23",,,,"01/12/2023","month","14/12/2023",,"LT","LT","Daenerys",,,,,,,,,,,,,,,"Yes",
"911","BBDais23","BBDais23",,,,"01/12/2023","month","08/12/2023",,"LT","LT","Daisy",,,,,,,,,,,,,,,"Yes",
"822","BBDian22","BBDian22",,,,"01/11/2022","month","10/11/2022",,,"LM","Diana",,,,,"10/11/2022",,,,,,,,,,"NO",
"910","BBDigb23","BBDigb23",,,,"01/11/2023","month","07/11/2023",,"LT","LT","Digby",,,,,,,,,,,,,,,"Yes",
"920","BBDigb24","BBDigb24",,,,,,"22/11/2024",,"LT","LT","Digby",,,,,,,,,,,,,,,"Yes","only baby 2024"
"897","BBFuer23","BBFuer23","BBHoley23",,,"01/01/2023","year","03/11/2023",,,"CR","Fuerteventura",,,,,"08/01/2024",,,,,,,,,,"Yes",
"922","BBGhid24","BBGhid24",,,,"23/09/2024","day","23/09/2024",,,"BD","Ghida",,,,,"23/09/2024",,,,,,,,,,"NO","body collected"
"831","BBGran22","BBGran22",,,,"01/11/2022","month","21/11/2022",,,"NH","Granada",,,,,"16/12/2022",,,,,,,,,,"NO","Gran left the baby near the 4Gs alive but not moving only twitching"
"874","BBGran23","BBGran23",,,,"18/08/2023","day","18/08/2023",,,"NH","Granada",,,,,"19/08/2023",,,,,,,,,,"No","Born dead and carried it for the whole day"
"877","BBGree23","BBGree23",,,,"13/09/2023","day","13/09/2023",,,"NH","Greenbay",,,,,"14/09/2023",,,,,,,,,,"NO","Born alive and died during the day and she carried it for the whole day and the next day,,,"
"895","BBGubh23","BBGubh23",,,,"01/10/2023","month","17/10/2023",,,"AK","Gubha",,,,,"20/10/2023",,,,,,,,,,"No",
"806","BBInhl21","BBInhl21",,,,"01/01/2021","year","28/06/2022",,,"IF","Inhlanhla",,,,,"03/08/2024",,,,,,,,,,"Yes",
"816","BBInhl22","BBInhl22",,,,"01/01/2022","year","04/11/2022",,,"IF","Inhlanhla",,,,,"03/08/2024",,,,,,,,,,"No",
"894","BBInhl23","BBInhl23",,,,"01/10/2023","month","16/10/2023",,,"IF","Inhlanhla",,,,,"21/10/2023",,,,,,,,,,"No","During the darting the baby was accidentally hit by the dart and sadly it did not make it"
"896","BBMack23","BBMack23",,"M",,"01/10/2023","month","20/10/2023",,"CR","CR","mackenzie",,,,,,,,,,,,,,,"Yes",
"817","BBMara22","BBMara22",,,,"01/11/2022","month","05/11/2022",,,"KB","Mara",,,,,"05/11/2022",,,,,,,,,,"NO","Presume dead, last seen the day mara went missing"
"829","BBMedu22","BBMedu22",,,,"01/11/2022","month","11/11/2022",,,"IF","Medusa",,,,,"03/08/2024",,,,,,,,,,"No",
"878","BBNaal23","BBNaal23",,,,"19/09/2023","day","19/09/2023",,,"BD","Naaldekoker",,,,,"29/09/2023",,,,,,,,,,"No","postmortem was done on the fetus"
"840","BBNdaw22","BBNdaw22",,,,"01/12/2022","month","03/12/2022",,,"AK","Ndawonya",,,,,"06/01/2023",,,,,,,,,,"NO",
"847","BBNiha22","BBNiha22",,,,"01/01/2022","year","02/12/2022",,,"CR","Nihau",,,,,"20/01/2023",,,,,,,,,,"NO",
"904","BBNiha23","BBNiha23",,,,"01/11/2023","month","06/11/2023",,,"CR","Nihau",,,,,,,,,,,,,,,"Yes",
"875","BBNkos23","BBNkos23",,,,"06/09/2023","day","06/09/2023",,,"AK","Nkosikasi",,,,,"06/09/2023",,,,,,,,,,"No","Born dead and carried it for the whole day."
"918","BBOerw24","BBOerw24",,,,"06/09/2024","day","06/09/2024",,,"BD","Oerwoud",,,,,"06/09/2024",,,,,,"06/09/2024",,,,"No","collected the baby for tissue samples"
"821","BBOort22","BBOort22",,"M",,"01/11/2022","month","15/11/2022",,,"NH","Oortjies",,,,,"17/11/2022",,,,,,,,,,"NO","we found BBOort22 dead (MALE) in the beginning of the shift. oort was carrying for 4 hours aprox. the baby was falling from her but she kept taking it. sometimes she was grooming or eating and the baby was on the ground, but when the group was moving she was taking the baby with her. she was also grooming and smelling the baby.other monkeys like reen or oerw was were also smekling and even handling the baby. oerw was specially focused in thr baby and also  in Oort, following her and grooming her. after this time she left the baby on the ground and every 5 or 10 minutes was coming back, touching the baby and smelling it while self scratching a lot. The last times she was visiting the baby it was every 20 or 30 minutes until she didint come back again,"
"923","BBOort24","BBOort24",,,,"12/09/2024","day","12/09/2024",,,"BD","Oorties",,,,,"12/09/2024",,,,,,,,,,"NO","body colect"
"885","BBPand23","BBPand23",,"M",,"01/10/2023","month","09/10/2023",,,"IF","Pandora",,,,,"09/10/2023",,,,,,,,,,"No",
"879","BBPann23","BBPann23",,,,"01/09/2023","month","23/09/2023",,,"BD","Pannekoekie",,,,,"22/09/2023",,,,,,,,,,"No",
"876","BBRegi23","BBRegi23",,,,"12/09/2023","day","12/09/2023",,,"NH","Regina",,,,,"12/09/2023",,,,,,,,,,"NO","Born dead and carried it for the whole day. The fetus was collected for tissue sample."
"898","BBSari23","BBSari23",,"M",,"01/10/2023","month","01/11/2023",,,"BD","Sari",,,,,"01/11/2023",,,,,,,,,,"No","the baby was collected and sample was collected"
"891","BBSkem23","BBSkem23",,,,"05/10/2023","day","05/10/2023",,,"BD","Skemer",,,,,"05/10/2023",,,,,,,,,,"No",
"906","BBTimb23","BBTimb23",,,,"01/11/2023","month","21/11/2023",,,"CR","Timber",,,,,"30/12/2023",,,,,,,,,,"Yes",
"872","BBXala23","BBXala23",,,,"08/08/2023","day","08/08/2023",,,"NH","Xalapa",,,,,"08/08/2023",,,,,,,,,,"No","Gave birth and ate the fetus"
"917","BBXala24","BBXala24",,,,"02/09/2024","day","02/09/2024",,,"NH","Xalapa",,,,,"02/09/2024",,,,,,,,,,"No","collected the baby for tissue samples"
"811","BBXian22","BBXian22",,"M",,"21/10/2022","day","21/10/2022",,,"NH","Xian",,,,,"21/10/2022",,,,,,,,,,"NO","Genetic ear sample were taken. Baby sexed by Nokubonga and Josefien, both agree it looks like a male. Skull seemed to be not fully formed, very soft on the back of the head. Born dead, carried around by Xian for less than a day."
"873","BBXimp23","BBXimp23",,,,"13/07/2023","day","13/07/2023",,,"NH","Ximpu",,,,,"13/07/2023",,,,,,,,,,"No","Gave birth during the shift and left the fetus. The fetus was collected for tissue sample,"
"585","Beirut","Beir",,"F",,"03/12/2018","day","03/12/2018","26/10/2022","RB","NH","Bela-Bela",,"13/12/2023","RB","18/12/2023","02/02/2024",,,,,,,,,,,"She dissapeared for more than a month and was found with Rnb"
"344","Bela-Bela","Bela",,"F","1","29/11/2014","day","29/11/2014",,"RB","NH","Bogota",,"15/12/2023","RB","18/12/2023","02/02/2024",,,,,,,,,,"Yes",
"39","Beminde","Bemi",,"F",,"01/01/2007","year","23/11/2010",,,"BD",,,"05/01/2014","Intaka",,"15/06/2016",,,,,,,,,,,"Born 2007, formed IN with Wiet, Vrou"
"546","Benedict","Ben",,"M",,,,"08/06/2018",,,,,,,"LT","08/06/2018","18/07/2020",,,,,,,,,,,"Migrated in the group that owns the owners dam "
"454","Bermuda","Ber",,"M",,"01/01/2014","year","29/02/2016",,,"CR","Barbados",,"12/02/2017","SplitCR","12/02/2017","10/04/2017",,,,,,,,,,,"Born 2014"
"749","Bethlehem","Bet",,"M",,"01/11/2021","month","08/11/2021",,,"NH","Bela-Bela",,,,,"09/06/2023",,,,,,,,,,"Yes",
"692","BigEars",,,"M",,,,"06/06/2021",,,"CR",,,"29/08/2023",,,"29/08/2023",,,,,,,,,,,
"96","Bingo","Bin","JM","M",,"01/01/2009","year","25/04/2011",,,"BD",,,"15/01/2015",,,"15/01/2015",,,,,,,,,,"No","Probably born in 2009 - confused with another AK male  - kommunis big mess but not the same monkey - write here whether other form data has been affected"
"51","Black tits",,,"F",,,,"13/12/2010",,,"RC",,,,,,"13/12/2010",,,,,,,,,,"No",
"543","Blup blup","Blu",,"M",,,,"18/04/2018",,,"CR","Bali",,,,,"20/07/2018",,,,,,,,,,,"seen on last day CR followed 2018/07/20"
"860","Bobjaan","Bob","Roundlips; Mr Overbite","M",,,,"08/04/2023",,"PR",,,,,"BD","08/04/2023","15/01/2024","PR","24/01/2024","31/01/2024",,,,,,,"Yes",
"360","Bocold","Boc",,"M",,,,"31/12/2014",,,,,,,"CR","31/12/2014","21/01/2017","BD","31/01/2017","04/05/2019","AK","15/05/2019","30/10/2019",,,,,"Migrated or dead. "
"85","Bogota","Bogo",,"F","30",,,"05/03/2011",,,"NH",,,"13/04/2016","Iceland",,"12/07/2016",,,,,,,,,,,"UNK birth date + Split group"
"20","Boks","Bok",,"M",,,,"09/11/2010",,,,,,,"BD","09/11/2010","24/12/2010",,,,,,,,,,,"Unclear if immigration date is just first seen date"
"162","Bongani","Bon",,"M",,,,"28/01/2012",,,,,,,"AK",,"25/04/2013",,,,,,,,,,,
"871","Boom","Boo","O-Family Face male; O-male; OFamilyfaceMale","M",,,,"15/07/2023",,"BD",,,,,"BD","15/07/2023","Still present",,,,,,,,,,"Yes","Called ""O-male"" because of his resemblance to BD O-family"
"254","Boston","Bos",,"M",,"28/10/2013","day","28/10/2013",,,"NH","Bogota",,"23/05/2018",,,"23/05/2018",,,,,,,,,,,
"754","Bougainville","Bou","Goldie","M",,,,"24/03/2021",,,"CR",,,"25/01/2024",,,"25/01/2024",,,,,,,,,,,"he was born in 2018. it not certain it observation done in the field."
"868","Braai","Bra","Cheseled nose","M",,,,"17/04/2023",,"BD",,,,,"BD","17/04/2023","25/11/2024","BD","18/02/2025","Still present",,,,,,,"Yes",
"150","Brasilia","Bras",,"F",,"01/01/2010","year","16/12/2011",,,"NH","Bogota",,"13/04/2016","Iceland",,"12/07/2016",,,,,,,,,,,"UNK birth date + Split group"
"415","Brisbane","Bri",,"M",,"10/11/2015","day","10/11/2015",,,"NH","Brasilia",,"13/04/2016","Iceland",,"13/04/2016",,,,,,,,,,,"Prob split group? Not ID'd in Iceland after split"
"114","Bruce Springsteen","Bru",,"M",,,,"29/09/2011",,,,,,,"RC",,"29/09/2011",,,,,,,,,,"No","Only one record of him"
"72","Bryan","Bry",,"M",,,,"16/01/2011",,,,,,,"LT","16/01/2011","01/05/2012",,,,,,,,,,,"Only seen twice after Sept 2011"
"703","Bug Eyes",,,,,"01/01/2013","year",,,,"CR",,,,,,,,,,,,,,,,"No","Born 2013"
"679","Bukubuku","Buk",,"M",,,,"11/05/2021",,,,,,,"AK","11/05/2021","09/09/2024",,,,,,,,,,"No","Found dead with a wound. postmortem results said he was grabbed by the cat and manage the escape but later died from the lack of oxygen, due to perforated lungs. His body was found on the 12/09/2024"
"203","Bullebak","Bul",,"M",,"01/10/2012","day","01/10/2012",,,"BD","Beminde",,"07/12/2017",,,"07/12/2017",,,,,,,,,,,"Recorded a few more times in BD months after official dept date, but maybe errors"
"234","Bushy","Bush",,"F",,"01/01/2009","year","15/11/2012",,,"LT",,,"02/03/2015","FirstLTsplinter",,"01/07/2015",,,,,,,,,,,"Seen in splinter group in July 2015"
"137","Byron","Byr","SMC;Mini-Elton","M",,"01/01/2007","year","21/11/2011",,,"LT",,,"22/10/2013",,,"22/10/2013",,,,,,,,,,,"Probably born in 2007"
"862","Cairo","Cai",,"M",,,,"25/03/2023",,,,,,,"NH","25/03/2023","31/10/2023",,,,,,,,,,"Yes",
"489","Cameron","Cam",,"M",,"01/01/2016","year","05/10/2017",,,"CR","Chiloe",,,,,"26/01/2022",,,,,,,,,,,"Born 2016"
"270","Camilla","Cami",,"F","22",,,"27/11/2013",,,"LT",,,,"FirstLTsplinter","01/02/2015","06/11/2015",,,,,,,,,,"No","First recorded 2011? OldCamilla? In splinter group at least since february 2015, unclear which data is hers and which is Jenny's "
"250","Cancun","Can",,"M",,,,"28/06/2013",,,,,,,"NH","28/06/2013","25/02/2016","AK","14/03/2016","16/02/2017","NH","30/05/2017","17/12/2018","NH","17/06/2019","27/01/2021",,"Recorded once in AK on 2017/03/24"
"782","Capri","Cap",,"M",,"01/01/2021","year","28/03/2022",,"CR","CR","Chiloe",,"Still present",,,"Still present",,,,,,,,,,"Yes","Was seen last year late 2021 but never been recorded on the logbook until the 01/02/22."
"680","Cayman","Cay","Little Cameron","M",,,,"19/05/2021",,,"CR",,,"Still present",,,"Still present",,,,,,,,,,"Yes",
"138","Charles","Cha","Little Charles;JB","M",,"01/01/2008","year","21/11/2011",,,"LT",,,"09/12/2013",,,"09/12/2013",,,,,,,,,,,"Probably born in 2008"
"178","Chernobyl","Che",,"M",,,,"28/04/2012",,,,,,,"NH","28/04/2012","26/05/2014","BD","09/06/2014","06/08/2016",,,,,,,,"Seen once in NH on 2014/07/29, unclear if error or not, 2012/05/08 is first time recorded officially in NH in logbook; seen 3 times after official BD dept date but over 5 months so unclear if errors or not  "
"369","Chiloe","Chil",,"F",,,,"06/01/2015",,,"CR",,,,,,,,,,,,,,,,"Yes",
"121","Cindy Lauper","Cind",,"F",,,,"26/10/2011",,,"RC",,,,,,"11/11/2011",,,,,,,,,,"No",
"801","Circe","Circ","VHFCollarFemale ","F",,,,"28/06/2022",,"IF","IF",,,,,,,,,,,,,,,,"Yes",
"805","Cito","Cito",,,,"01/01/2021","year","28/06/2022",,"IF","IF","Circe",,,,,,,,,,,,,,,"Yes",
"765","Clarence","Clar","Clarence","F",,"01/01/2020","year","28/07/2021","28/10/2024","CR","CR","Chiloe",,,,,,,,,,,,,,,"Yes",
"704","Collin","Col",,"M",,"01/01/2012","year",,,,"LT","Camilla",,,,,,,,,,,,,,,"No","Probably renamed as Impostor"
"390","Colorado","Col",,"M",,,,"25/05/2015",,,,,,,"KB","25/05/2015","11/05/2016","IF","29/04/2016","14/09/2016",,,,,,,,"Seen once more in KB in June 16 after departure date and once in Ifamily in April 16"
"349","Cone","Con",,"M",,"01/01/2011","year","30/12/2014",,,"CR",,,"22/07/2015",,,"22/07/2015",,,,,,,,,,,"Born 2011, may have migrated"
"533","Corfu",,,,,,,"23/12/2017",,,"CR","Chiloe",,,,,"02/06/2018",,,,,,,,,,"No","Confusion between observers as to whether Corfu exists or not, never reconciled"
"370","Cuba","Cuba","kinktail","F",,"01/01/2012","year","06/01/2015",,,"CR",,,,,,"15/12/2015",,,,,,,,,,,"Probably dead, originally called ""kinktail"", born 2012"
"174","Curaco","Cur","Spot","M",,"01/01/2010","year","14/04/2012",,,"KB",,,"14/04/2012",,,"14/04/2012",,,,,,,,,,"No","Probably born 2010; also unclearif mistaken for another juvenile - would NOT recommend using his data\"
"350","Curious",,,"M",,"01/01/2011","year","30/12/2014",,,"CR",,,"06/11/2015",,,"06/11/2015",,,,,,,,,,,"Born 2011, may have migrated"
"544","Cusco","Cus",,"M",,,,"21/05/2018",,,,,,,"NH","21/05/2018","17/12/2018","NH","21/05/2019","30/11/2020",,,,,,,,"Could be Ijinja from Ifamily, but unsure without genetics"
"521","Daartagnan","Daa",,"M",,"02/11/2017","day","02/11/2017",,,"LT","Daisy",,,,,"06/06/2022",,,,,,,,,,,
"393","Daenerys","Daen",,"F",,"01/01/2014","year","20/08/2015",,"LT","LT","Diana",,,,,,,,,,,,,,,"Yes",
"88","Dagga","Dagg",,"F","11",,,"07/04/2011",,,"BD",,,"29/11/2012","InBetweeners",,"23/12/2013",,,,,,,,,,,"Formed new group IB. Found dead 23/12/2013"
"773","Daila","Dail",,"F",,"20/11/2021","day","20/11/2021",,"LT","LT","Daisy",,,,,,,,,,,,,,,"Yes",
"289","Daisy","Dais",,"F",,"01/01/2013","year","26/08/2014",,"LT","LT","Diana",,,,,,,,,,,,,,,"Yes",
"803","Dakar","Dak",,"M",,,,"10/09/2022",,,,,,,"NH","10/09/2022","05/09/2023",,,,,,,,,,"No",
"583","Dalton","Dal","Kneescab","M",,"28/11/2018","day","28/11/2018","14/04/2023",,"LT","Daenerys",,"14/04/2023","BD","25/04/2023","19/09/2024",,,,,,,,,,"No",
"769","Danielle","Dani",,"F",,"22/11/2021","day","22/11/2021",,"LT","LT","Daenerys",,,,,,,,,,,,,,,"Yes",
"186","Danube","Dan",,"M","10",,,"25/05/2012",,,,,,,"KB",,"12/05/2014","BD","28/05/2014","30/08/2014","IN","08/09/2014","20/06/2015","AK","24/06/2015","13/10/2015",,
"283","Dapper","Dap",,"M",,,,"01/07/2014",,,,,,,"BD","01/07/2014","27/01/2016",,,,,,,,,,,
"190","Darwin","Dar","Zazoo","M",,"01/01/2010","year","31/07/2012",,,"LT",,,"02/09/2016",,,"02/09/2016",,,,,,,,,,,"Born in 2010"
"616","Dastard","Dast","Das;Dastt","F",,,,"01/11/2019","05/09/2023","LT","LT","Daenerys",,,,,,,,,,,,,,,"Yes","she was sexed as male first"
"652","Dazzle","Dazz",,"F",,"20/11/2020","day","20/11/2020","28/10/2024","LT","LT","Daisy",,,,,,,,,,,,,,,"Yes",
"665","Deja","Deja",,"F",,"01/01/2020","year","07/12/2020","28/10/2024","LT","LT","Delilah",,,,,,,,,,,,,,,"Yes",
"207","Delilah","Deli","Rainbow","F",,"08/10/2012","day","08/10/2012",,"LT","LT","Diana",,,,,,,,,,,,,,,"Yes",
"667","Delta","Delt",,"F",,"01/12/2020","month","11/12/2020","28/10/2024","LT","LT","Dewe",,,,,,,,,,,,,,,"Yes",
"770","Delux","Del",,"M",,"01/01/2021","year","11/12/2021",,"LT","LT","Delilah",,"Still present",,,"Still present",,,,,,,,,,"Yes",
"772","Derrick","Der",,"M",,"01/01/2021","year","11/12/2021",,,"LT","Dexter",,,,,"04/06/2022",,,,,,,,,,"NO",
"823","Dewdrop","Dewd",,"F",,"01/11/2022","month","18/11/2022",,"LT","LT","Dewe",,,,,,,,,,,,,,,"Yes",
"479","Dewey","Dewe",,"F",,"04/01/2017","day","04/01/2017",,"LT","LT","Delilah",,,,,,,,,,,,,,,"Yes",
"532","Dexter","Dext",,"F",,"30/11/2017","day","30/11/2017",,,"LT","Delilah",,,,,"04/06/2022",,,,,,,,,,,
"633","Diamond","Dia",,"M",,"01/10/2020","month","29/10/2020",,"LT","LT","Diana",,"Still present",,,"Still present",,,,,,,,,,"Yes","Born between the 22nd and the 29th of October 2020 according to logbook entries."
"83","Diana","Dian",,"F",,,,"19/02/2011",,,"LT",,,,,,"23/01/2024",,,,,,,,,,"No",
"272","Digby","Digb","Rhiannon","F",,"01/01/2011","year","08/01/2014",,"LT","LT","Diana",,,,,,,,,,,,,,,"Yes",
"476","Dillon","Dil",,"M",,"05/12/2016","day","05/12/2016",,,"LT","Digby",,"11/12/2021",,,"11/12/2021",,,,,,,,,,"NO",
"817","Dinosaur","Dino",,"F",,"01/11/2022","month","04/11/2022",,"LT","LT","Digby",,,,,,,,,,,,,,,"Yes",
"842","Dinosaur","Dino",,,,"01/11/2022","month","24/11/2022",,,"LT","Daenerys",,,,,"14/12/2022",,,,,,,,,,"NO","last seen the baby was not grabing or holding very well"
"446","Dion","Dio",,"M",,"12/12/2015","day","12/12/2015",,,"LT","Digby",,"23/03/2021",,,"23/03/2021",,,,,,,,,,,
"768","Disco","Dis",,"M",,"21/11/2021","day","21/11/2021",,,"LT","Digby",,,,,"09/03/2022",,,,,,,,,,"NO",
"568","Dixon","Dix",,"M",,"11/11/2018","day","11/11/2018","23/03/2023","BD","LT","Digby",,"23/03/2023","BD","25/04/2023","Still present",,,,,,,,,,"Yes",
"677","DodgyKnee","Dodg","DodgyKnee","F",,,,"16/04/2021",,,"CR",,,,,,"03/01/2022",,,,,,,,,,"No",
"482","Dokos","Dok","Denmark","M",,"01/01/2014","year","22/08/2017",,,"CR","Duclina",,"20/07/2018","BD","30/05/2019","21/07/2022",,,,,,,,,,,"Born 2014, seen on last day CR followed 2018/07/20. In BD for three years but found dead in the purgatory on 15/08/2022 by Loic."
"892","Domino","Domi",,"F",,"01/01/2023","year","10/10/2023",,"LT","LT","Doreen",,,,,,,,,,,,,,,"Yes",
"89","Donsig","Don",,"M",,"01/01/2009","year","07/04/2011",,,"BD","Dagga","Pik","15/01/2015","LT","03/04/2015","16/11/2018",,,,,,,,,,,"Probably born in 2009, seen twice in LT in March 2019"
"535","Doreen","Dore",,"F",,"29/12/2017","day","29/12/2017",,"LT","LT","Diana",,,,,,,,,,,,,,,"Yes",
"194","Double Spot","Dou",,"M",,"01/01/2009","year","13/08/2012",,,"KB",,,"10/05/2014",,,"10/05/2014",,,,,,,,,,,"Probably born Dec 2009"
"279","DownLip","Dow",,"M",,,,"28/05/2014",,,,,,,"LT","28/05/2014","09/07/2014",,,,,,,,,,,
"52","Drew","Drew",,"F",,"01/01/2008","year","13/12/2010",,,"RC",,,,,,"01/11/2011",,,,,,,,,,"No","Probably born in 2008"
"869","Driehoek","Dri","Traingular Face; TriangularFace","M",,,,"10/05/2023",,"BD",,,,,"BD","10/05/2023","Still present",,,,,,,,,,"Yes",
"10","Dublin","Dub",,"M",,,,"08/11/2010",,,,,,,"NH","08/11/2010","27/10/2012",,,,,,,,,,,"Seen once more in NH on 2013/01/25, unclear if error or not, date of immigration is likely just first seen date"
"683","Duckie","Duc","Duckie","M",,,,"27/05/2021",,,"CR",,,"16/08/2023",,,"16/08/2023",,,,,,,,,,"No",
"399","Dulcina","Dulc",,"F",,,,"08/10/2015",,,"CR",,,,,,"08/10/2015",,,,,,,,,,"No","Only recorded on one day, presumed dead"
"580","Dunston",,,,,"24/11/2018","day","24/11/2018",,,"LT","Diana",,,,,,,,,,,,,,,"No","Died of head injury sustained days earlier"
"43","Dwergie","Dwe",,"M",,"01/01/2001","year","01/12/2010",,,"BD","Dagga","Auckland","19/01/2016","AK","26/01/2016","23/03/2016",,,,,,,,,,,"Born in 2010, Seen in AK twice after leaving date (approx 1 and 2 months after)"
"539","Easter","East","Smashy;Mous","F",,,,"09/04/2018",,,"CR",,,,,,"12/03/2022",,,,,,,,,,,"seen on last day CR followed 2018/07/20"
"188","Edward","Edw",,"M",,,,"12/06/2012",,,,,,,"LT","12/06/2012","12/11/2014",,,,,,,,,,,"Unclear if 1st seen is same as immigrated"
"730","Eier","Eie",,"M",,"02/11/2021","day","02/11/2021",,,"BD","Eina",,,,,"16/02/2022",,,,,,,,,,"NO",
"299","Eina","Eina",,"F",,"18/10/2014","day","18/10/2014",,"PR","BD","Engel","Okucane","09/02/2024",,"19/01/2024","31/01/2024",,,,,,,,,,"Yes",
"653","Eish","Eis",,"M",,"21/11/2020","day","21/11/2020",,"BD","BD","Eina",,"Still present",,,"Still present",,,,,,,,,,"Yes",
"793","Eivissa","Eiv","NewMale090622","M",,,,"09/06/2022",,,,,,,"CR","09/06/2022","04/04/2024",,,,,,,,,,"No",
"843","Ekse","Ekse",,"F",,"07/12/2022","day","07/12/2022",,,"BD","Eina",,,,,"15/11/2023",,,,,,,,,,"Yes",
"908","Eland","Ela",,"M",,"01/11/2023","month","27/11/2023",,,"BD","Eina",,,,,"26/01/2024",,,,,,,,,,"No",
"777","Elbar","Elba",,"F",,"01/01/2020","year","28/07/2021",,,"CR","Easter",,,,,"03/09/2021",,,,,,,,,,"NO","Was classified as a one year old."
"351","Ellesmere","Elle",,"F","12",,,"30/12/2014",,,"CR",,,,,,"19/07/2016",,,,,,,,,,,"Presumed dead"
"104","Elton","Elt","SMB","M","13","01/01/2006","year","09/06/2011",,,"LT",,,"04/02/2012","AK","28/01/2012","18/01/2016",,,,,,,,,,,"Probably born in 2006, recorded 12/6/12 in LT, unclear if error or not, seen once more in AK on 27/02/16, after first sighting in AK not sighted again until 08/5/12"
"65","Elvis Presley","Elv",,"M",,,,"24/12/2010",,,,,,,"RC",,"11/11/2011",,,,,,,,,,"No",
"151","Emma","Emma",,"F",,,,"16/12/2011",,,"LT",,,,,,"04/07/2013",,,,,,,,,,,
"90","Engel","Enge","Chouchou;JC","F","14","01/01/2009","year","07/04/2011",,,"BD",,,"20/01/2024","PR","19/01/2024","31/01/2024",,,,,,,,,,"Yes","Born in 2009"
"807","Erebus","Erebus","JUV1; Juv1",,,"01/01/2021","year","28/06/2022",,"IF","IF",,,"Still present",,,"Still present",,,,,,,,,,"Yes",
"791","Ermelo","Erm","NewMale02;NewMale2","M",,,,"16/06/2022",,,,,,," NH","16/06/2022","09/09/2022",,,,,,,,,,"NO",
"91","Ertjies","Ert","JA;Small balls","M",,,,"07/04/2011",,,"BD",,,"26/04/2012","NH","26/04/2012","11/12/2015",,,,,,,,,,,
"689","Etosha","Eto",,"M",,,,"02/06/2021",,,,,,,"KB","02/06/2021","10/12/2021",,,,,,,,,,,"First recorded date in Jun 21"
"127","Evanescence","Evan",,"F",,,,"01/11/2011",,,"RC",,,,,,"25/11/2011",,,,,,,,,,"No",
"422","Everest","Eve",,"M","40",,,"14/11/2015",,,"RL",,,,,"14/11/2015","07/12/2015",,,,,,,,,,,"Released in BD; found dead 7/12/2015 outside farm"
"313","Faroe","Far",,"M",,"28/10/2014","day","28/10/2014",,,"CR","Formentera",,"30/01/2016",,,"30/01/2016",,,,,,,,,,,"Born 2014, Dead 2016 - prob error logbook as last seen date = 2017 there"
"883","Fauna","Fau",,"M",,"01/09/2023","month","01/10/2023",,"IF","IF","Freya",,,,,,,,,,,,,,,"Yes",
"31","Feekie","Feek",,"F",,,,"10/11/2010",,,"BD","Foei",,"13/11/2012","InBetweeners",,"01/02/2013",,,,,,,,,,,"Born in 2008/2009?. Formed new group Inbetweeners"
"483","Feniks","Fen",,"M",,,,"01/09/2017",,,,,,,"BD","01/09/2017","10/01/2020",,,,,,,,,,,
"705","Fergie","Ferg",,"F",,,,,,,"RC",,,,,,,,,,,,,,,,"No",
"540","Fiji","Fiji",,"F",,,,"12/04/2018",,,"CR",,,,,,"20/07/2018",,,,,,,,,,,"seen on last day CR followed 2018/07/20"
"371","Flatty","Fla",,"M",,"01/01/2011","year","06/01/2015",,,"CR",,,"24/04/2017",,,"24/04/2017",,,,,,,,,,,"Born 2011, disappeared/ migrated in new group?"
