"","immigrant_code","group","grooming_rate","in_grooming_rate","out_grooming_rate","in_degree_normalized","out_degree_normalized","total_degree_normalized","eigenvector_centrality","total_grooming_days","in_grooming_days","out_grooming_days","days_observed","median_group_size","X","Mother","BirthGp","DOB","ImmigrationGp1","DateImmigration1","LastSeen1","Tenure","third_birthday","mother_present_all_3_years","mother_days_present","Momcode","mom_present_birth","found_days_birth","mother_avg_elo","ImmigBirthday1","IsPresentOnBirthday","HasConflictsAfterImmig","ConflictCountAfterImmig","elo_one_year_all","elo_one_year_male_male","elo_rating_date_one_year_all","elo_rating_date_one_year_male_male","n_conflicts_one_year_all","n_conflicts_one_year_male_male","elo_end_tenure_all","elo_end_tenure_male_male","elo_rating_date_end_tenure_all","elo_rating_date_end_tenure_male_male","n_conflicts_end_tenure_all","n_conflicts_end_tenure_male_male","immigration_birthday","days_diff_one_year_all","days_diff_one_year_male_male","days_diff_end_tenure_all","days_diff_end_tenure_male_male"
"65","unw","BD",0.452513966480447,0.29608938547486,0.363128491620112,0.611111111111111,0.574074074074074,0.796296296296296,0.263628016490887,81,53,65,179,55,65,"Ulaka","AK","2012-10-22","BD","2017-05-04","2017-12-07",217,"2015-10-22",FALSE,328,"ulak",FALSE,328,0.7,"2018-05-04",FALSE,TRUE,18,0.541,0.468,"2017-12-06","2017-12-06",31,18,0.541,0.468,"2017-12-06","2017-12-06",31,18,"2018-05-04",149,149,1,1
"66","rhe","BD",0.120171673819742,0.0987124463519313,0.0386266094420601,0.338983050847458,0.152542372881356,0.372881355932203,0.0668062177328582,28,23,9,233,60,66,"Roma","NH","2012-10-27","BD","2017-12-05","2021-09-27",1392,"2015-10-27",TRUE,1096,"roma",TRUE,1096,0.114,"2018-12-05",TRUE,TRUE,17,0.558,0.531,"2018-12-03","2018-12-03",20,17,0.399,0.454,"2021-09-17","2021-09-17",110,80,"2018-12-05",2,2,10,10
"67","vul","NH",0.276190476190476,0.233333333333333,0.161904761904762,0.630434782608696,0.434782608695652,0.695652173913043,0.0865648389944397,58,49,34,210,47,67,"Vroutjie","BD","2012-11-14","NH","2020-04-16","2025-03-17",1796,"2015-11-14",TRUE,1096,"vrou",TRUE,1096,NA,"2021-04-16",TRUE,TRUE,17,0.294,0.574,"2021-04-07","2021-04-07",28,17,0.554,0.577,"2024-11-04","2024-11-04",154,105,"2021-04-16",9,9,133,133
"68","hlo","BD",0.356115107913669,0.23021582733813,0.266187050359712,0.576271186440678,0.661016949152542,0.76271186440678,0.187754289432102,99,64,74,278,60,68,"Hleka","AK","2012-12-23","BD","2017-05-16","2019-11-20",918,"2015-12-23",FALSE,1059,"hlek",FALSE,1059,0.564,"2018-05-16",TRUE,TRUE,33,0.383,0,"2018-05-15","2018-05-15",58,33,0.697,0.526,"2019-10-31","2019-10-30",131,76,"2018-05-16",1,1,20,21
"69","fud","AK",0.0593607305936073,0.0593607305936073,0.0228310502283105,0.243243243243243,0.0540540540540541,0.243243243243243,0.043658752784167,13,13,5,219,38,69,NA,NA,NA,"AK","2013-06-11","2015-09-11",822,NA,NA,NA,NA,FALSE,0,NA,"2014-06-11",TRUE,TRUE,4,0.298,0,"2014-05-26","2014-05-26",4,4,0.368,0.178,"2015-06-02","2015-06-02",10,8,"2014-06-11",16,16,101,101
"70","can","NH",0.0606060606060606,0.0606060606060606,0.0303030303030303,0.116279069767442,0.0465116279069767,0.116279069767442,0.0587279381454739,6,6,3,99,44,70,NA,NA,NA,"NH","2013-06-28","2016-02-25",972,NA,NA,NA,NA,FALSE,0,NA,"2014-06-28",TRUE,TRUE,4,0.37,0.024,"2014-01-03","2014-01-03",5,4,0.397,0,"2015-08-21","2015-08-21",6,5,"2014-06-28",176,176,188,188
"71","uji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,"Uppsala","NH","2013-10-31","Jacaranda","2018-05-26","2018-05-26",0,"2016-10-31",TRUE,1097,"upps",TRUE,1097,0.681,"2019-05-26",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2019-05-26",NA,NA,NA,NA
"72","avo","NH",0.133333333333333,0.133333333333333,0,0.0975609756097561,0,0.0975609756097561,0.0797167060141954,2,2,0,15,42,72,"Amazon","KB","2013-11-11","NH","2018-05-14","2018-06-12",29,"2016-11-11",FALSE,561,"amaz",FALSE,561,0.497,"2019-05-14",TRUE,TRUE,1,0.387,0,"2018-05-31","2018-05-31",2,1,0.387,0,"2018-05-31","2018-05-31",2,1,"2019-05-14",348,348,12,12
"73","gla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,"Geneva","NH","2013-11-12","Jacaranda","2018-05-28","2018-05-28",0,"2016-11-12",TRUE,1097,"gene",TRUE,1097,0.94,"2019-05-28",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2019-05-28",NA,NA,NA,NA
"74","yan","NH",0.320175438596491,0.236842105263158,0.206140350877193,0.476190476190476,0.571428571428571,0.619047619047619,0.167806488612554,73,54,47,228,43,74,"Yenissei","KB","2013-01-01","NH","2018-05-14","2020-01-27",623,"2016-01-01",TRUE,1096,"yeni",TRUE,1096,NA,"2019-05-14",TRUE,TRUE,13,0.219,0,"2019-05-11","2019-04-10",39,13,0.438,0,"2019-12-02","2019-08-17",47,19,"2019-05-14",3,34,56,163
"75","jag","BD",0.0866666666666667,0.0733333333333333,0.04,0.172413793103448,0.0689655172413793,0.189655172413793,0.0831973958059637,13,11,6,150,59,75,NA,NA,NA,"BD","2014-05-08","2015-01-10",247,NA,NA,NA,NA,FALSE,0,NA,"2015-05-08",FALSE,TRUE,2,0.461,0.595,"2014-12-23","2014-12-23",2,2,0.461,0.595,"2014-12-23","2014-12-23",2,2,"2015-05-08",136,136,18,18
"76","dow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,"LT","2014-05-28","2014-07-09",42,NA,NA,NA,NA,FALSE,0,NA,"2015-05-28",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2015-05-28",NA,NA,NA,NA
"77","umz","AK",0.0333333333333333,0.0222222222222222,0.0166666666666667,0.0465116279069767,0.0232558139534884,0.0697674418604651,0.0318480810708254,6,4,3,180,44,77,NA,NA,NA,"AK","2014-06-09","2015-09-12",460,NA,NA,NA,NA,FALSE,0,NA,"2015-06-09",TRUE,TRUE,5,0.167,0,"2015-06-02","2015-06-02",5,5,0.167,0,"2015-06-02","2015-06-02",5,5,"2015-06-09",7,7,102,102
"78","dap","BD",0.0954773869346734,0.0753768844221105,0.0653266331658292,0.209677419354839,0.161290322580645,0.258064516129032,0.0612485520796363,19,15,13,199,63,78,NA,NA,NA,"BD","2014-07-01","2016-01-27",575,NA,NA,NA,NA,FALSE,0,NA,"2015-07-01",TRUE,TRUE,1,0.376,0.393,"2015-04-25","2015-04-25",1,1,0.349,0.341,"2015-11-27","2015-07-18",5,2,"2015-07-01",67,67,61,193
"79","ada","LT",0.164179104477612,0.134328358208955,0.0447761194029851,0.0909090909090909,0.0454545454545455,0.113636363636364,0.434369554083255,11,9,3,67,45,79,NA,NA,NA,"LT","2014-08-14","2016-11-14",823,NA,NA,NA,NA,FALSE,0,NA,"2015-08-14",TRUE,TRUE,3,0.385,0,"2015-06-26","2015-06-26",5,3,0.181,0,"2016-10-11","2016-10-11",13,10,"2015-08-14",49,49,34,34
"80","gaa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,"Gesels","BD","2014-10-20","CR","2019-06-18","2019-06-18",0,"2017-10-20",TRUE,1097,"gese",TRUE,1097,0.44,"2020-06-17",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2020-06-17",NA,NA,NA,NA
"81","mat","BD",0.276018099547511,0.20814479638009,0.194570135746606,0.467741935483871,0.419354838709677,0.564516129032258,0.20681880192784,61,46,43,221,63,81,"Mamoobi","AK","2014-10-21","BD","2020-02-17","2021-01-30",348,"2017-10-21",TRUE,1097,"mamo",TRUE,1097,0.137,"2021-02-16",TRUE,TRUE,16,0.495,0.24,"2021-01-13","2021-01-13",21,16,0.495,0.24,"2021-01-13","2021-01-13",21,16,"2021-02-16",34,34,17,17
"82","hei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,"Heerlik","BD","2014-10-31","CR","2021-04-01","2021-04-02",1,"2017-10-31",TRUE,1097,"heer",TRUE,1097,0.488,"2022-04-01",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2022-04-01",NA,NA,NA,NA
"83","ihl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,"Isilonda","AK","2014-11-03","IF","2016-04-29","2017-04-07",343,"2017-11-03",FALSE,887,"isil",FALSE,887,0.264,"2017-04-29",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2017-04-29",NA,NA,NA,NA
"84","ted","BD",0.14406779661017,0.10593220338983,0.10593220338983,0.27536231884058,0.27536231884058,0.405797101449275,0.086122022045645,34,25,25,236,70,84,"Chiloe","CR","2014-11-12","BD","2019-05-25","2022-05-19",1090,"2017-11-12",FALSE,1042,"chil",TRUE,1042,NA,"2020-05-24",TRUE,TRUE,26,0.305,0,"2020-05-09","2020-05-09",41,26,0.085,0,"2022-05-10","2022-05-10",108,67,"2020-05-24",15,15,9,9
"85","obe","CR",0.24,0.16,0.08,0.117647058823529,0.0294117647058824,0.147058823529412,0.335526520251975,6,4,2,25,35,85,"Oulik","BD","2014-11-15","CR","2020-08-06","2022-02-22",565,"2017-11-15",TRUE,1097,"ouli",TRUE,1097,0.988,"2021-08-06",TRUE,TRUE,2,0,0,"2021-06-23","2021-06-23",2,2,0.494,0,"2022-02-07","2022-02-07",8,4,"2021-08-06",44,44,15,15
"86","pro","BD",0.172,0.14,0.092,0.303030303030303,0.242424242424242,0.378787878787879,0.125829493324439,43,35,23,250,67,86,"Pretoria","NH","2014-11-19","BD","2019-07-13","2022-04-16",1008,"2017-11-19",TRUE,1097,"pret",TRUE,1097,0.426,"2020-07-12",TRUE,TRUE,12,0.633,0.412,"2020-07-08","2020-07-01",22,12,0.609,1,"2022-04-13","2022-04-13",57,30,"2020-07-12",4,11,3,3
"87","tha","KB",0.1,0.1,0.0428571428571429,0.125,0.0416666666666667,0.166666666666667,0.132243032858871,7,7,3,70,25,87,NA,NA,NA,"KB","2014-11-19","2015-08-26",280,NA,NA,NA,NA,FALSE,0,NA,"2015-11-19",FALSE,TRUE,8,0.684,0.582,"2015-06-29","2015-06-29",8,8,0.684,0.582,"2015-06-29","2015-06-29",8,8,"2015-11-19",143,143,58,58
"88","jap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,"CR","2014-11-20","2015-05-15",176,NA,NA,NA,NA,FALSE,0,NA,"2015-11-20",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2015-11-20",NA,NA,NA,NA
"89","ker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,"CR","2014-12-30","2015-05-26",147,NA,NA,NA,NA,FALSE,0,NA,"2015-12-30",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2015-12-30",NA,NA,NA,NA
"90","pal","BD",0.408163265306122,0.282312925170068,0.319727891156463,0.703703703703704,0.648148148148148,0.814814814814815,0.262717574147232,120,83,94,294,55,90,NA,"CR","2012-01-01","BD","2016-12-07","2022-03-01",1910,"2015-01-01",NA,NA,NA,FALSE,0,NA,"2017-12-07",TRUE,TRUE,58,0.733,1,"2017-12-06","2017-12-06",95,58,0.75,1,"2022-02-07","2022-01-18",377,251,"2017-12-07",1,1,22,42
"91","sol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,"CR","2014-12-30","2017-01-28",760,NA,NA,NA,NA,FALSE,0,NA,"2015-12-30",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2015-12-30",NA,NA,NA,NA
"92","boc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,"CR","2014-12-31","2017-01-21",752,NA,NA,NA,NA,FALSE,0,NA,"2015-12-31",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2015-12-31",NA,NA,NA,NA
"93","han","BD",0.281954887218045,0.225563909774436,0.161654135338346,0.457627118644068,0.440677966101695,0.559322033898305,0.12362326110591,75,60,43,266,60,93,NA,"CR","2012-01-01","BD","2017-05-06","2020-03-04",1033,"2015-01-01",NA,NA,NA,FALSE,0,NA,"2018-05-06",TRUE,TRUE,25,0.391,0.073,"2018-04-18","2018-04-06",32,25,0.401,0.079,"2020-02-26","2020-02-26",91,68,"2018-05-06",18,30,7,7
"94","mac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,"CR","2014-12-31","2016-05-20",506,NA,NA,NA,NA,FALSE,0,NA,"2015-12-31",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2015-12-31",NA,NA,NA,NA
"95","sey","BD",0.212669683257919,0.108597285067873,0.144796380090498,0.333333333333333,0.347826086956522,0.434782608695652,0.124820816058278,47,24,32,221,70,95,"Samoa","CR","2014-01-01","BD","2019-05-21","2024-03-07",1752,"2017-01-01",FALSE,733,"samo",TRUE,733,NA,"2020-05-20",TRUE,TRUE,12,0.461,0.209,"2020-04-03","2020-04-03",25,12,0.752,0.909,"2024-02-13","2023-12-05",169,77,"2020-05-20",47,47,23,93
"96","hen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,"CR","2015-01-06","2015-05-26",140,NA,NA,NA,NA,FALSE,0,NA,"2016-01-06",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2016-01-06",NA,NA,NA,NA
"97","xiu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,"CR","2015-11-13","2023-04-03",2698,NA,NA,NA,NA,FALSE,0,NA,"2016-11-12",TRUE,FALSE,0,NA,NA,NA,NA,0,0,1,1,"2022-05-17","2022-05-17",9,5,"2016-11-12",NA,NA,321,321
"98","bas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,"CR",NA,"BD","2017-05-05","2021-02-19",1386,NA,NA,NA,NA,FALSE,0,NA,"2018-05-05",TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.773,0.647,"2021-01-21","2021-01-21",55,40,"2018-05-05",NA,NA,29,29
"99","olo","KB",0,0,0,0,0,0,0,0,0,0,12,27,99,NA,NA,NA,"KB","2015-04-03","2015-05-25",52,NA,NA,NA,NA,FALSE,0,NA,"2016-04-02",FALSE,TRUE,2,0.682,0.864,"2015-05-25","2015-05-25",2,2,0.682,0.864,"2015-05-25","2015-05-25",2,2,"2016-04-02",313,313,0,0
"100","ati","KB",0.05,0.05,0.0166666666666667,0.0833333333333333,0,0.0833333333333333,0.0291739687459387,3,3,1,60,25,100,NA,NA,NA,"KB","2015-04-28","2016-01-25",272,NA,NA,NA,NA,FALSE,0,NA,"2016-04-27",TRUE,TRUE,2,0.632,1,"2015-12-17","2015-12-17",2,2,0.632,1,"2015-12-17","2015-12-17",2,2,"2016-04-27",132,132,39,39
"101","lif","KB",0.285714285714286,0.25,0.116071428571429,0.478260869565217,0.347826086956522,0.565217391304348,0.451828497685743,32,28,13,112,24,101,NA,NA,NA,"KB","2015-04-28","2021-05-31",2225,NA,NA,NA,NA,FALSE,0,NA,"2016-04-27",TRUE,TRUE,9,1,0.332,"2016-04-19","2015-11-03",25,9,1,0.332,"2021-05-31","2015-11-03",105,9,"2016-04-27",8,176,0,2036
"102","oka","KB",0.2,0.2,0.133333333333333,0.0769230769230769,0.0384615384615385,0.0769230769230769,0.111775076542207,3,3,2,15,27,102,NA,NA,NA,"KB","2015-05-04","2015-10-29",178,NA,NA,NA,NA,FALSE,0,NA,"2016-05-03",FALSE,TRUE,4,0.605,0.573,"2015-08-03","2015-08-03",4,4,0.605,0.573,"2015-08-03","2015-08-03",4,4,"2016-05-03",274,274,87,87
"103","wes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,"2015-05-20","LT","2015-05-20","2018-02-20",1007,"2018-05-20",NA,NA,NA,FALSE,0,NA,"2016-05-19",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2016-05-19",NA,NA,NA,NA
"104","col","KB",0.132075471698113,0.0754716981132075,0.113207547169811,0.166666666666667,0.208333333333333,0.25,0.200641629159845,7,4,6,53,25,104,NA,NA,NA,"KB","2015-05-25","2016-05-11",352,NA,NA,NA,NA,FALSE,0,NA,"2016-05-24",TRUE,TRUE,4,0,0,"2015-12-17","2015-12-17",4,4,0,0,"2015-12-17","2015-12-17",4,4,"2016-05-24",159,159,146,146
"105","van",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,"CR","2015-09-01","2018-05-28",1000,NA,NA,NA,NA,FALSE,0,NA,"2016-08-31",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2016-08-31",NA,NA,NA,NA
"106","pia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,"CR","2015-09-26","2016-07-15",293,NA,NA,NA,NA,FALSE,0,NA,"2016-09-25",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2016-09-25",NA,NA,NA,NA
"107","zav",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,"CR","2015-10-28","2017-02-17",478,NA,NA,NA,NA,FALSE,0,NA,"2016-10-27",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2016-10-27",NA,NA,NA,NA
"108","ula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,"Uppsala","NH","2015-11-16","IF","2020-12-09","2021-01-15",37,"2018-11-16",TRUE,1097,"upps",TRUE,1097,0.71,"2021-12-09",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2021-12-09",NA,NA,NA,NA
"109","pru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,"Pretoria","NH","2015-11-23","IF","2020-12-09","2024-02-20",1168,"2018-11-23",TRUE,1097,"pret",TRUE,1097,0.42,"2021-12-09",TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.891,0,"2024-01-18","2023-03-24",5,1,"2021-12-09",NA,NA,33,333
"110","rey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,"Reva","NH","2015-11-23","IF","2020-12-09","2022-05-22",529,"2018-11-23",TRUE,1097,"reva",TRUE,1097,0.129,"2021-12-09",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2021-12-09",NA,NA,NA,NA
"111","kau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,NA,"CR","2015-11-28","2017-01-04",403,NA,NA,NA,NA,FALSE,0,NA,"2016-11-27",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2016-11-27",NA,NA,NA,NA
"112","yel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,NA,"CR","2015-11-28","2017-01-03",402,NA,NA,NA,NA,FALSE,0,NA,"2016-11-27",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2016-11-27",NA,NA,NA,NA
"113","rat","LT",0.507462686567164,0.350746268656716,0.402985074626866,0.588235294117647,0.676470588235294,0.705882352941177,0.48695025693334,68,47,54,134,35,113,"Rissiepit","BD","2015-11-30","LT","2021-05-21","2021-12-18",211,"2018-11-30",TRUE,1097,"riss",TRUE,1097,0.203,"2022-05-21",TRUE,TRUE,6,0.404,0.4,"2021-12-10","2021-12-10",11,6,0.404,0.4,"2021-12-10","2021-12-10",11,6,"2022-05-21",162,162,8,8
"114","ber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,"Barbados","CR","2014-01-01","SplitCR","2017-02-12","2017-04-10",57,"2017-01-01",FALSE,452,"barb",TRUE,452,NA,"2018-02-12",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2018-02-12",NA,NA,NA,NA
"115","umb","BD",0.158536585365854,0.109756097560976,0.0934959349593496,0.318840579710145,0.231884057971014,0.405797101449275,0.115109269992735,39,27,23,246,70,115,"Umnak","CR","2014-01-01","BD","2019-05-27","2023-12-23",1671,"2017-01-01",FALSE,691,"umna",TRUE,691,NA,"2020-05-26",TRUE,TRUE,16,0.571,0.35,"2020-05-25","2020-05-25",26,16,0.616,0.669,"2023-10-17","2023-07-07",106,60,"2020-05-26",1,1,67,169
"116","xia","BD",0.201646090534979,0.185185185185185,0.0740740740740741,0.371428571428571,0.2,0.385714285714286,0.118416815959058,49,45,18,243,71,116,"Xian","NH","2016-11-14","BD","2022-02-14","2022-06-13",119,"2019-11-14",TRUE,1096,"xian",TRUE,1096,0.582,"2023-02-14",TRUE,TRUE,18,0.366,0.136,"2023-01-30","2023-01-30",42,18,0.343,0.11,"2022-06-13","2022-06-13",16,6,"2023-02-14",15,15,0,0
"117","nge","BD",0.269076305220884,0.204819277108434,0.176706827309237,0.414285714285714,0.342857142857143,0.5,0.162462030773819,67,51,44,249,71,117,"Nkosikasi","AK","2016-11-18","BD","2022-02-07","2023-03-01",387,"2019-11-18",FALSE,0,NA,FALSE,0,NA,"2023-02-07",TRUE,TRUE,11,0.26,0,"2023-01-30","2023-01-30",31,11,0.26,0,"2023-01-30","2023-01-30",31,11,"2023-02-07",8,8,30,30
"118","tyl","LT",0.02,0.02,0,0.0263157894736842,0,0.0263157894736842,0.0103920400835945,1,1,0,50,39,118,NA,NA,NA,"LT","2017-05-22","2018-02-07",261,NA,NA,NA,NA,FALSE,0,NA,"2018-05-22",FALSE,TRUE,1,0.374,0.117,"2017-08-30","2017-07-14",5,1,0.374,0.117,"2017-08-30","2017-07-14",5,1,"2018-05-22",265,312,161,208
"119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,NA,NA,NA,"LT","2017-06-22","2017-07-07",15,NA,NA,NA,NA,FALSE,0,NA,"2018-06-22",FALSE,TRUE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-06-22",NA,NA,NA,NA
"120","dok","BD",0.236514522821577,0.16597510373444,0.136929460580913,0.333333333333333,0.347826086956522,0.449275362318841,0.114211146319191,57,40,33,241,70,120,"Dulcina","CR","2014-01-01","BD","2019-05-30","2022-07-21",1148,"2017-01-01",FALSE,1,"dulc",FALSE,1,NA,"2020-05-29",TRUE,TRUE,10,0.561,0.316,"2020-05-20","2020-05-20",21,10,0.496,0.498,"2022-07-15","2022-06-30",66,41,"2020-05-29",9,9,6,21
"121","fen","BD",0.106122448979592,0.073469387755102,0.0571428571428571,0.283333333333333,0.15,0.366666666666667,0.0414265489872397,26,18,14,245,61,121,NA,NA,NA,"BD","2017-09-01","2020-01-10",861,NA,NA,NA,NA,FALSE,0,NA,"2018-09-01",TRUE,TRUE,14,0.476,0.326,"2018-08-04","2018-08-04",14,14,0.435,0.213,"2019-11-13","2019-11-13",39,26,"2018-09-01",28,28,58,58
"122","kom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,"AK","2019-10-09","2019-10-09",0,NA,NA,NA,NA,FALSE,0,NA,"2020-10-08",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2020-10-08",NA,NA,NA,NA
"123","aar","IF",0.375,0.375,0.0625,0.166666666666667,0.0555555555555556,0.166666666666667,0.71597923481742,6,6,1,16,19,123,"Aare","KB","2017-10-09","IF","2023-01-30","2023-10-01",244,"2020-10-09",TRUE,1097,"aare",TRUE,1097,0.406,"2024-01-30",FALSE,TRUE,4,1,1,"2023-06-16","2023-06-16",4,4,1,1,"2023-06-16","2023-06-16",4,4,"2024-01-30",228,228,107,107
"124","rocky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,"Rose-Mary","LT",NA,"LTsplit","2018-02-21","2018-03-03",10,NA,NA,NA,"rose",FALSE,0,NA,"2019-02-21",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2019-02-21",NA,NA,NA,NA
"125","xin","BD",0.202334630350195,0.186770428015564,0.0428015564202335,0.346666666666667,0.16,0.386666666666667,0.093605712956052,52,48,11,257,76,125,"Xian","NH","2017-01-01","BD","2022-07-16","2024-11-25",863,"2020-01-01",TRUE,1096,"xian",TRUE,1096,0.593,"2023-07-16",TRUE,TRUE,14,0.319,0.136,"2023-07-11","2023-07-11",32,14,0.46,0.697,"2024-11-20","2024-11-20",63,35,"2023-07-16",5,5,5,5
"126","nak","BD",0.328,0.264,0.196,0.475524475524476,0.34965034965035,0.531468531468531,0.214471200799961,82,66,49,250,72.5,126,"Nkosikasi","AK","2017-10-31","BD","2022-05-06","2023-12-28",601,"2020-10-31",FALSE,0,NA,FALSE,0,NA,"2023-05-06",TRUE,TRUE,18,0.552,0.767,"2023-05-04","2023-04-14",50,18,0.644,0.89,"2023-12-14","2023-12-08",67,30,"2023-05-06",2,22,14,20
"127","bkay17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,"Kaya","LT","2017-11-04","LTsplit","2018-02-21","2018-03-03",10,"2020-11-04",FALSE,120,"kaya",FALSE,120,0.155,"2019-02-21",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2019-02-21",NA,NA,NA,NA
"128","pun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,NA,NA,"2018-03-02","BD","2018-03-02","2018-07-24",144,"2021-03-02",NA,NA,NA,FALSE,0,NA,"2019-03-02",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2019-03-02",NA,NA,NA,NA
"129","cus","NH",0.179245283018868,0.179245283018868,0.0754716981132075,0.324324324324324,0.189189189189189,0.378378378378378,0.108152331392367,19,19,8,106,38,129,NA,NA,NA,"NH","2018-05-21","2018-12-17",210,NA,NA,NA,NA,FALSE,0,NA,"2019-05-21",TRUE,TRUE,13,0.55,0.211,"2018-11-24","2018-11-22",21,13,0.55,0.211,"2018-11-24","2018-11-22",21,13,"2019-05-21",178,180,23,25
"130","osc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,"LT","2018-06-07","2019-02-06",244,NA,NA,NA,NA,FALSE,0,NA,"2019-06-07",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2019-06-07",NA,NA,NA,NA
