"","Code","Mother","BirthGp","DOB","ImmigrationGp1","DateImmigration1","LastSeen1","Tenure","third_birthday","mother_present_all_3_years","mother_days_present","Momcode","mom_present_birth","found_days_birth","mother_avg_elo","ImmigBirthday1","IsPresentOnBirthday","HasConflictsAfterImmig","ConflictCountAfterImmig","elo_one_year_all","elo_one_year_male_male","elo_rating_date_one_year_all","elo_rating_date_one_year_male_male","n_conflicts_one_year_all","n_conflicts_one_year_male_male","elo_end_tenure_all","elo_end_tenure_male_male","elo_rating_date_end_tenure_all","elo_rating_date_end_tenure_male_male","n_conflicts_end_tenure_all","n_conflicts_end_tenure_male_male","immigration_birthday","days_diff_one_year_all","days_diff_one_year_male_male","days_diff_end_tenure_all","days_diff_end_tenure_male_male"
"92","boc",NA,NA,NA,"CR",2014-12-31,2017-01-21,752,NA,NA,NA,NA,FALSE,0,NA,2015-12-31,TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2015-12-31,NA,NA,NA,NA
"93","han",NA,"CR",2012-01-01,"BD",2017-05-06,2020-03-04,1033,2015-01-01,NA,NA,NA,FALSE,0,NA,2018-05-06,TRUE,TRUE,25,0.391,0.073,2018-04-18,2018-04-06,32,25,0.401,0.079,2020-02-26,2020-02-26,91,68,2018-05-06,18,30,7,7
"94","mac",NA,NA,NA,"CR",2014-12-31,2016-05-20,506,NA,NA,NA,NA,FALSE,0,NA,2015-12-31,TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2015-12-31,NA,NA,NA,NA
"95","sey","Samoa","CR",2014-01-01,"BD",2019-05-21,2024-03-07,1752,2017-01-01,FALSE,733,"samo",TRUE,733,NA,2020-05-20,TRUE,TRUE,12,0.461,0.209,2020-04-03,2020-04-03,25,12,0.752,0.909,2024-02-13,2023-12-05,169,77,2020-05-20,47,47,23,93
"96","hen",NA,NA,NA,"CR",2015-01-06,2015-05-26,140,NA,NA,NA,NA,FALSE,0,NA,2016-01-06,FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2016-01-06,NA,NA,NA,NA
"97","xiu",NA,NA,NA,"CR",2015-11-13,2023-04-03,2698,NA,NA,NA,NA,FALSE,0,NA,2016-11-12,TRUE,FALSE,0,NA,NA,NA,NA,0,0,1,1,2022-05-17,2022-05-17,9,5,2016-11-12,NA,NA,321,321
"98","bas",NA,"CR",NA,"BD",2017-05-05,2021-02-19,1386,NA,NA,NA,NA,FALSE,0,NA,2018-05-05,TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.773,0.647,2021-01-21,2021-01-21,55,40,2018-05-05,NA,NA,29,29
"99","olo",NA,NA,NA,"KB",2015-04-03,2015-05-25,52,NA,NA,NA,NA,FALSE,0,NA,2016-04-02,FALSE,TRUE,2,0.682,0.864,2015-05-25,2015-05-25,2,2,0.682,0.864,2015-05-25,2015-05-25,2,2,2016-04-02,313,313,0,0
"100","ati",NA,NA,NA,"KB",2015-04-28,2016-01-25,272,NA,NA,NA,NA,FALSE,0,NA,2016-04-27,TRUE,TRUE,2,0.632,1,2015-12-17,2015-12-17,2,2,0.632,1,2015-12-17,2015-12-17,2,2,2016-04-27,132,132,39,39
"101","lif",NA,NA,NA,"KB",2015-04-28,2021-05-31,2225,NA,NA,NA,NA,FALSE,0,NA,2016-04-27,TRUE,TRUE,9,1,0.332,2016-04-19,2015-11-03,25,9,1,0.332,2021-05-31,2015-11-03,105,9,2016-04-27,8,176,0,2036
"102","oka",NA,NA,NA,"KB",2015-05-04,2015-10-29,178,NA,NA,NA,NA,FALSE,0,NA,2016-05-03,FALSE,TRUE,4,0.605,0.573,2015-08-03,2015-08-03,4,4,0.605,0.573,2015-08-03,2015-08-03,4,4,2016-05-03,274,274,87,87
"103","wes",NA,NA,2015-05-20,"LT",2015-05-20,2018-02-20,1007,2018-05-20,NA,NA,NA,FALSE,0,NA,2016-05-19,TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2016-05-19,NA,NA,NA,NA
"104","col",NA,NA,NA,"KB",2015-05-25,2016-05-11,352,NA,NA,NA,NA,FALSE,0,NA,2016-05-24,TRUE,TRUE,4,0,0,2015-12-17,2015-12-17,4,4,0,0,2015-12-17,2015-12-17,4,4,2016-05-24,159,159,146,146
"105","van",NA,NA,NA,"CR",2015-09-01,2018-05-28,1000,NA,NA,NA,NA,FALSE,0,NA,2016-08-31,TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2016-08-31,NA,NA,NA,NA
"106","pia",NA,NA,NA,"CR",2015-09-26,2016-07-15,293,NA,NA,NA,NA,FALSE,0,NA,2016-09-25,FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2016-09-25,NA,NA,NA,NA
"107","zav",NA,NA,NA,"CR",2015-10-28,2017-02-17,478,NA,NA,NA,NA,FALSE,0,NA,2016-10-27,TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2016-10-27,NA,NA,NA,NA
"108","ula","Uppsala","NH",2015-11-16,"IF",2020-12-09,2021-01-15,37,2018-11-16,TRUE,1097,"upps",TRUE,1097,0.71,2021-12-09,FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2021-12-09,NA,NA,NA,NA
"109","pru","Pretoria","NH",2015-11-23,"IF",2020-12-09,2024-02-20,1168,2018-11-23,TRUE,1097,"pret",TRUE,1097,0.42,2021-12-09,TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.891,0,2024-01-18,2023-03-24,5,1,2021-12-09,NA,NA,33,333
"110","rey","Reva","NH",2015-11-23,"IF",2020-12-09,2022-05-22,529,2018-11-23,TRUE,1097,"reva",TRUE,1097,0.129,2021-12-09,TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2021-12-09,NA,NA,NA,NA
"111","kau",NA,NA,NA,"CR",2015-11-28,2017-01-04,403,NA,NA,NA,NA,FALSE,0,NA,2016-11-27,TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2016-11-27,NA,NA,NA,NA
"112","yel",NA,NA,NA,"CR",2015-11-28,2017-01-03,402,NA,NA,NA,NA,FALSE,0,NA,2016-11-27,TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2016-11-27,NA,NA,NA,NA
"113","rat","Rissiepit","BD",2015-11-30,"LT",2021-05-21,2021-12-18,211,2018-11-30,TRUE,1097,"riss",TRUE,1097,0.203,2022-05-21,TRUE,TRUE,6,0.404,0.4,2021-12-10,2021-12-10,11,6,0.404,0.4,2021-12-10,2021-12-10,11,6,2022-05-21,162,162,8,8
"114","ber","Barbados","CR",2014-01-01,"SplitCR",2017-02-12,2017-04-10,57,2017-01-01,FALSE,452,"barb",TRUE,452,NA,2018-02-12,NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2018-02-12,NA,NA,NA,NA
"115","umb","Umnak","CR",2014-01-01,"BD",2019-05-27,2023-12-23,1671,2017-01-01,FALSE,691,"umna",TRUE,691,NA,2020-05-26,TRUE,TRUE,16,0.571,0.35,2020-05-25,2020-05-25,26,16,0.616,0.669,2023-10-17,2023-07-07,106,60,2020-05-26,1,1,67,169
"116","xia","Xian","NH",2016-11-14,"BD",2022-02-14,2022-06-13,119,2019-11-14,TRUE,1096,"xian",TRUE,1096,0.582,2023-02-14,TRUE,TRUE,18,0.366,0.136,2023-01-30,2023-01-30,42,18,0.343,0.11,2022-06-13,2022-06-13,16,6,2023-02-14,15,15,0,0
"117","nge","Nkosikasi","AK",2016-11-18,"BD",2022-02-07,2023-03-01,387,2019-11-18,FALSE,0,NA,FALSE,0,NA,2023-02-07,TRUE,TRUE,11,0.26,0,2023-01-30,2023-01-30,31,11,0.26,0,2023-01-30,2023-01-30,31,11,2023-02-07,8,8,30,30
"118","tyl",NA,NA,NA,"LT",2017-05-22,2018-02-07,261,NA,NA,NA,NA,FALSE,0,NA,2018-05-22,FALSE,TRUE,1,0.374,0.117,2017-08-30,2017-07-14,5,1,0.374,0.117,2017-08-30,2017-07-14,5,1,2018-05-22,265,312,161,208
"119",NA,NA,NA,NA,"LT",2017-06-22,2017-07-07,15,NA,NA,NA,NA,FALSE,0,NA,2018-06-22,FALSE,TRUE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-22,NA,NA,NA,NA
"120","dok","Dulcina","CR",2014-01-01,"BD",2019-05-30,2022-07-21,1148,2017-01-01,FALSE,1,"dulc",FALSE,1,NA,2020-05-29,TRUE,TRUE,10,0.561,0.316,2020-05-20,2020-05-20,21,10,0.496,0.498,2022-07-15,2022-06-30,66,41,2020-05-29,9,9,6,21
"121","fen",NA,NA,NA,"BD",2017-09-01,2020-01-10,861,NA,NA,NA,NA,FALSE,0,NA,2018-09-01,TRUE,TRUE,14,0.476,0.326,2018-08-04,2018-08-04,14,14,0.435,0.213,2019-11-13,2019-11-13,39,26,2018-09-01,28,28,58,58
"122","kom",NA,NA,NA,"AK",2019-10-09,2019-10-09,0,NA,NA,NA,NA,FALSE,0,NA,2020-10-08,TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2020-10-08,NA,NA,NA,NA
"123","aar","Aare","KB",2017-10-09,"IF",2023-01-30,2023-10-01,244,2020-10-09,TRUE,1097,"aare",TRUE,1097,0.406,2024-01-30,FALSE,TRUE,4,1,1,2023-06-16,2023-06-16,4,4,1,1,2023-06-16,2023-06-16,4,4,2024-01-30,228,228,107,107
"124","rocky","Rose-Mary","LT",NA,"LTsplit",2018-02-21,2018-03-03,10,NA,NA,NA,"rose",FALSE,0,NA,2019-02-21,NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2019-02-21,NA,NA,NA,NA
"125","xin","Xian","NH",2017-01-01,"BD",2022-07-16,2024-11-25,863,2020-01-01,TRUE,1096,"xian",TRUE,1096,0.593,2023-07-16,TRUE,TRUE,14,0.319,0.136,2023-07-11,2023-07-11,32,14,0.46,0.697,2024-11-20,2024-11-20,63,35,2023-07-16,5,5,5,5
"126","nak","Nkosikasi","AK",2017-10-31,"BD",2022-05-06,2023-12-28,601,2020-10-31,FALSE,0,NA,FALSE,0,NA,2023-05-06,TRUE,TRUE,18,0.552,0.767,2023-05-04,2023-04-14,50,18,0.644,0.89,2023-12-14,2023-12-08,67,30,2023-05-06,2,22,14,20
"127","bkay17","Kaya","LT",2017-11-04,"LTsplit",2018-02-21,2018-03-03,10,2020-11-04,FALSE,120,"kaya",FALSE,120,0.155,2019-02-21,NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2019-02-21,NA,NA,NA,NA
"128","pun",NA,NA,2018-03-02,"BD",2018-03-02,2018-07-24,144,2021-03-02,NA,NA,NA,FALSE,0,NA,2019-03-02,FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2019-03-02,NA,NA,NA,NA
"129","cus",NA,NA,NA,"NH",2018-05-21,2018-12-17,210,NA,NA,NA,NA,FALSE,0,NA,2019-05-21,TRUE,TRUE,13,0.55,0.211,2018-11-24,2018-11-22,21,13,0.55,0.211,2018-11-24,2018-11-22,21,13,2019-05-21,178,180,23,25
"130","osc",NA,NA,NA,"LT",2018-06-07,2019-02-06,244,NA,NA,NA,NA,FALSE,0,NA,2019-06-07,FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2019-06-07,NA,NA,NA,NA
"131","ben",NA,NA,NA,"LT",2018-06-08,2020-07-18,771,NA,NA,NA,NA,FALSE,0,NA,2019-06-08,TRUE,FALSE,0,0.515,NA,2019-06-08,NA,10,0,0.924,0.601,2020-05-26,2020-05-26,27,8,2019-06-08,0,NA,53,53
"132","guz","Gugu","AK",2018-10-01,"IF",2023-05-22,2024-04-17,331,2021-10-01,FALSE,900,"gugu",FALSE,900,0.91,2024-05-21,FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2024-05-21,NA,NA,NA,NA
"133","yaz","Yalu","KB",2018-11-14,"BD",2024-04-24,2025-01-09,260,2021-11-14,FALSE,794,"yalu",FALSE,794,0.985,2025-04-24,FALSE,TRUE,11,0.464,0.465,2024-12-17,2024-12-17,16,11,0.464,0.465,2024-12-17,2024-12-17,16,11,2025-04-24,128,128,23,23
"134","gil","Ginqinka","AK",2018-11-20,"IF",2023-05-22,2024-09-05,472,2021-11-20,TRUE,1097,"ginq",TRUE,1097,0.698,2024-05-21,TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2024-05-21,NA,NA,NA,NA
"135","non","Nooiens","BD",2018-11-22,"PR",2024-01-31,2024-01-31,0,2021-11-22,TRUE,1097,"nooi",TRUE,1097,0.452,2025-01-30,NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2025-01-30,NA,NA,NA,NA
"136","dal","Daenerys","LT",2018-11-28,"BD",2023-04-25,2024-09-19,513,2021-11-28,TRUE,1097,"daen",TRUE,1097,0.724,2024-04-24,TRUE,TRUE,8,0.158,0.063,2024-04-15,2024-01-06,18,8,0.13,0.1,2024-05-06,2024-05-06,20,10,2024-04-24,9,109,136,136
"137","geo",NA,NA,NA,"LT",2019-03-18,2022-03-18,1096,NA,NA,NA,NA,FALSE,0,NA,2020-03-17,TRUE,TRUE,1,0.721,NA,2020-03-10,2020-03-10,2,1,0.659,NA,2021-12-10,2021-12-10,21,11,2020-03-17,7,7,98,98
"138","was",NA,NA,NA,"NH",2019-03-18,2020-02-26,345,NA,NA,NA,NA,FALSE,0,NA,2020-03-17,FALSE,TRUE,1,0.538,0.225,2019-08-30,2019-08-30,1,1,0.538,0.225,2019-08-30,2019-08-30,1,1,2020-03-17,200,200,180,180
"139","flu",NA,NA,NA,"BD",2019-04-30,2023-01-13,1354,NA,NA,NA,NA,FALSE,0,NA,2020-04-29,TRUE,TRUE,8,0.549,0.488,2020-03-21,2020-03-07,9,8,0.673,0.655,2022-11-18,2022-11-18,71,53,2020-04-29,39,53,56,56
"140","kek",NA,NA,NA,"AK",2019-05-31,2020-04-18,323,NA,NA,NA,NA,FALSE,0,NA,2020-05-30,TRUE,TRUE,1,0.53,0,2020-04-01,2019-09-09,6,1,0.53,0,2020-04-01,2019-09-09,6,1,2020-05-30,59,264,17,222
"141","lip",NA,NA,NA,"NH",2019-06-01,2020-08-17,443,NA,NA,NA,NA,FALSE,0,NA,2020-05-31,TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2020-05-31,NA,NA,NA,NA
"142","oua",NA,NA,NA,"NH",2019-06-03,2020-11-30,546,NA,NA,NA,NA,FALSE,0,NA,2020-06-02,TRUE,TRUE,10,0.712,0.431,2020-06-02,2020-05-27,28,10,0.954,1,2020-11-17,2020-11-07,47,23,2020-06-02,0,6,13,23
"143","tas",NA,NA,NA,"LT",2019-12-04,2021-11-23,720,NA,NA,NA,NA,FALSE,0,NA,2020-12-03,TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2020-12-03,NA,NA,NA,NA
"144","tam",NA,NA,NA,"NH",2020-05-15,2023-03-03,1022,NA,NA,NA,NA,FALSE,0,NA,2021-05-15,TRUE,TRUE,6,0.113,0.3,2021-05-10,2021-05-10,10,6,0.255,0.457,2022-12-14,2022-12-14,35,21,2021-05-15,5,5,79,79
"145","utr",NA,NA,NA,"NH",2020-06-02,2020-10-15,135,NA,NA,NA,NA,FALSE,0,NA,2021-06-02,TRUE,TRUE,6,0.492,1,2021-05-28,2021-05-28,12,6,NA,NA,NA,NA,0,0,2021-06-02,5,5,NA,NA
"146","vla",NA,NA,NA,"NH",2020-05-28,2021-06-11,379,NA,NA,NA,NA,FALSE,0,NA,2021-05-28,TRUE,TRUE,8,0.135,0.223,2021-05-24,2021-05-24,26,8,0.029,0.068,2021-05-29,2021-05-29,27,9,2021-05-28,4,4,13,13
"147","fle",NA,NA,NA,"NH",2020-07-31,2021-11-04,461,NA,NA,NA,NA,FALSE,0,NA,2021-07-31,TRUE,TRUE,16,0.051,0.184,2021-07-28,2021-07-28,22,16,0.052,0.276,2021-10-04,2021-10-04,26,19,2021-07-31,3,3,31,31
"148","war",NA,NA,NA,"NH",2020-09-23,2021-12-20,453,NA,NA,NA,NA,FALSE,0,NA,2021-09-23,TRUE,TRUE,9,0.171,0.428,2021-09-20,2021-09-17,20,9,0.243,0.428,2021-12-16,2021-09-17,22,9,2021-09-23,3,6,4,94
"149","mui","Mielies","BD",2020-11-25,"PR",2024-01-31,2024-01-31,0,2023-11-25,TRUE,1096,"miel",TRUE,1096,0.236,2025-01-30,NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2025-01-30,NA,NA,NA,NA
"150","sio",NA,NA,NA,"NH",2021-01-15,2021-12-22,341,NA,NA,NA,NA,FALSE,0,NA,2022-01-15,FALSE,TRUE,28,0,0,2021-11-06,2021-10-27,63,28,0,0,2021-11-06,2021-10-27,63,28,2022-01-15,70,80,46,56
"151","rim","Rabat","NH",2021-01-01,"RB",2024-02-02,2024-02-02,0,2024-01-01,TRUE,1096,"raba",TRUE,1096,0.306,2025-02-01,NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2025-02-01,NA,NA,NA,NA
"152","tch",NA,NA,NA,"AK",2021-05-11,2022-03-17,310,NA,NA,NA,NA,FALSE,0,NA,2022-05-11,TRUE,TRUE,6,0.333,1,2022-02-24,2021-10-09,17,6,0.333,1,2022-02-24,2021-10-09,17,6,2022-05-11,76,214,21,159
"153","buk",NA,NA,NA,"AK",2021-05-11,2024-09-09,1217,NA,NA,NA,NA,FALSE,0,NA,2022-05-11,TRUE,TRUE,4,0.18,0,2022-05-06,2021-12-21,16,4,0.436,0,2024-06-05,2024-06-05,106,37,2022-05-11,5,141,96,96
"154","oke",NA,NA,NA,"KB",2021-05-31,2023-01-28,607,NA,NA,NA,NA,FALSE,0,NA,2022-05-31,TRUE,TRUE,1,0.513,1,2022-04-16,2022-01-19,6,1,0.435,1,2022-12-10,2022-11-26,13,3,2022-05-31,45,132,49,63
"155","eto",NA,NA,NA,"KB",2021-06-02,2021-12-10,191,NA,NA,NA,NA,FALSE,0,NA,2022-06-02,FALSE,TRUE,1,0.531,0,2021-12-04,2021-11-29,2,1,0.531,NA,2021-12-04,NA,2,1,2022-06-02,180,185,6,NA
"156","apa",NA,NA,NA,"LT",2021-06-04,2022-07-26,417,NA,NA,NA,NA,FALSE,0,NA,2022-06-04,TRUE,TRUE,3,0.459,0.609,2021-11-13,2021-11-13,6,3,0.459,0.609,2021-11-13,2021-11-13,6,3,2022-06-04,203,203,255,255
"157","mom",NA,NA,NA,"LT",2021-06-04,2022-12-19,563,NA,NA,NA,NA,FALSE,0,NA,2022-06-04,TRUE,TRUE,3,0.32,0.013,2022-05-03,2021-11-29,5,3,0.32,0.013,2022-05-03,2021-11-29,5,3,2022-06-04,32,187,230,385
"158","plainjane",NA,"CR",NA,"BD",2023-03-01,2024-04-04,400,NA,NA,NA,NA,FALSE,0,NA,2024-02-29,TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2024-02-29,NA,NA,NA,NA
"159","zan_2015",NA,NA,NA,"CR",2015-01-01,2015-02-01,31,NA,NA,NA,NA,FALSE,0,NA,2016-01-01,FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2016-01-01,NA,NA,NA,NA
"160","hem","Heerlik","BD",2021-11-04,"PR",2024-01-31,2024-01-31,0,2024-11-04,FALSE,1052,"heer",FALSE,1052,0.396,2025-01-30,NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2025-01-30,NA,NA,NA,NA
"161","fur",NA,NA,NA,"KB",2022-03-19,2023-10-14,574,NA,NA,NA,NA,FALSE,0,NA,2023-03-19,TRUE,TRUE,3,0.323,0.099,2022-11-26,2022-11-26,6,3,0.788,0.099,2023-07-21,2022-11-26,9,3,2023-03-19,113,113,85,322
"162","vry",NA,NA,NA,"NH",2022-06-10,2024-12-12,916,NA,NA,NA,NA,FALSE,0,NA,2023-06-10,TRUE,TRUE,23,0.227,0.059,2023-06-09,2023-06-01,25,23,0.266,0.323,2024-04-18,2024-03-01,45,35,2023-06-10,1,9,238,286
"163","erm",NA,NA,NA,"NH",2022-06-16,2022-09-09,85,NA,NA,NA,NA,FALSE,0,NA,2023-06-16,FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2023-06-16,NA,NA,NA,NA
"164","newmale3",NA,NA,NA,"NH",2022-06-16,2022-08-06,51,NA,NA,NA,NA,FALSE,0,NA,2023-06-16,FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2023-06-16,NA,NA,NA,NA
"165","eiv",NA,NA,NA,"CR",2022-06-09,2024-04-04,665,NA,NA,NA,NA,FALSE,0,NA,2023-06-09,TRUE,TRUE,1,0.675,0.596,2023-06-09,2023-06-09,1,1,0.675,0.596,2023-06-09,2023-06-09,1,1,2023-06-09,0,0,300,300
"166","rya",NA,NA,NA,"LT",2022-06-06,2023-02-01,240,NA,NA,NA,NA,FALSE,0,NA,2023-06-06,TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2023-06-06,NA,NA,NA,NA
"167","que",NA,NA,NA,"KB",2022-05-18,2025-02-27,1016,NA,NA,NA,NA,FALSE,0,NA,2023-05-18,TRUE,TRUE,5,0.241,0.639,2023-04-25,2023-04-25,25,5,0.192,0,2024-08-26,2024-08-26,42,15,2023-05-18,23,23,185,185
"168","dak",NA,NA,NA,"NH",2022-09-10,2023-09-05,360,NA,NA,NA,NA,FALSE,0,NA,2023-09-10,FALSE,TRUE,3,0.235,0.397,2023-06-21,2023-06-02,15,3,0.235,0.397,2023-06-21,2023-06-02,15,3,2023-09-10,81,100,76,95
"169","sta",NA,NA,NA,"LT",2022-07-29,2023-12-15,504,NA,NA,NA,NA,FALSE,0,NA,2023-07-29,TRUE,FALSE,0,0.467,NA,2023-04-04,NA,4,0,0.467,NA,2023-04-04,NA,4,0,2023-07-29,116,NA,255,NA
"170","kny",NA,NA,NA,"NH",2022-10-17,2025-03-20,885,NA,NA,NA,NA,FALSE,0,NA,2023-10-17,TRUE,TRUE,5,0.256,0.172,2023-10-13,2023-08-11,12,5,0.44,0.127,2025-03-18,2025-03-18,29,13,2023-10-17,4,67,2,2
"171","kno",NA,NA,NA,"BD",2022-11-07,2024-01-19,438,NA,NA,NA,NA,FALSE,0,NA,2023-11-07,TRUE,TRUE,9,0.288,0.178,2023-10-12,2023-06-22,15,9,0.23,0.178,2023-12-19,2023-06-22,16,9,2023-11-07,26,138,31,211
"172","ves",NA,NA,NA,"CR",2021-05-25,2022-12-08,562,NA,NA,NA,NA,FALSE,0,NA,2022-05-25,TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2022-05-25,NA,NA,NA,NA
"173","bob",NA,NA,NA,"BD",2023-04-08,2024-01-15,282,NA,NA,NA,NA,FALSE,0,NA,2024-04-07,FALSE,TRUE,5,0.314,0.224,2023-12-08,2023-12-08,9,5,0.314,0.224,2023-12-08,2023-12-08,9,5,2024-04-07,121,121,38,38
"174","cai",NA,NA,NA,"NH",2023-03-25,2023-10-31,220,NA,NA,NA,NA,FALSE,0,NA,2024-03-24,FALSE,TRUE,7,0.287,0.347,2023-08-11,2023-06-14,14,7,0.287,0.347,2023-08-11,2023-06-14,14,7,2024-03-24,226,284,81,139
"175","hav",NA,NA,NA,"NH",2023-03-25,2024-10-25,580,NA,NA,NA,NA,FALSE,0,NA,2024-03-24,TRUE,TRUE,11,0.121,0.155,2023-07-27,2023-07-27,16,11,0.121,0.155,2023-07-27,2023-07-27,16,11,2024-03-24,241,241,456,456
"176","san",NA,NA,NA,"IF",2023-04-10,2023-08-04,116,NA,NA,NA,NA,FALSE,0,NA,2024-04-09,TRUE,TRUE,2,0.672,0.471,2023-05-11,2023-05-11,2,2,0.672,0.471,2023-05-11,2023-05-11,2,2,2024-04-09,334,334,85,85
"177","tho",NA,NA,NA,"IF",2023-04-14,2023-08-04,112,NA,NA,NA,NA,FALSE,0,NA,2024-04-13,FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2024-04-13,NA,NA,NA,NA
"178","tot",NA,NA,NA,"BD",2023-04-14,2024-01-23,284,NA,NA,NA,NA,FALSE,0,NA,2024-04-13,FALSE,TRUE,5,0.21,0.159,2024-01-15,2023-12-08,10,5,0.21,0.159,2024-01-15,2023-12-08,10,5,2024-04-13,89,127,8,46
"179","win",NA,NA,NA,"BD",2023-04-15,2023-12-23,252,NA,NA,NA,NA,FALSE,0,NA,2024-04-14,TRUE,TRUE,5,0.29,0.164,2023-11-21,2023-06-29,6,5,0.29,0.164,2023-11-21,2023-06-29,6,5,2024-04-14,145,290,32,177
"180","bra",NA,NA,NA,"BD",2023-04-17,2024-11-25,588,NA,NA,NA,NA,FALSE,0,NA,2024-04-16,TRUE,TRUE,6,0.181,0.481,2024-04-16,2023-12-08,11,6,0.626,1,2024-11-20,2024-11-20,25,15,2024-04-16,0,130,5,5
"181","boo",NA,NA,NA,"BD",2023-07-15,2025-05-22,677,NA,NA,NA,NA,FALSE,0,NA,2024-07-14,TRUE,TRUE,8,0.393,0.545,2024-07-08,2024-07-08,15,8,0.426,0.678,2025-04-01,2025-04-01,20,12,2024-07-14,6,6,51,51
"182","ush",NA,NA,NA,"RB",2024-02-02,2024-02-02,0,NA,NA,NA,NA,FALSE,0,NA,2025-02-01,NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2025-02-01,NA,NA,NA,NA
"183","oti",NA,NA,NA,"KB",2024-04-11,2025-04-01,355,NA,NA,NA,NA,FALSE,0,NA,2025-04-11,FALSE,FALSE,0,0.648,NA,2024-10-15,NA,2,0,0.648,NA,2024-10-15,NA,2,0,2025-04-11,178,NA,168,NA
"184","map",NA,NA,NA,"NH",2024-04-30,2024-07-12,73,NA,NA,NA,NA,FALSE,0,NA,2025-04-30,FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2025-04-30,NA,NA,NA,NA
"185","lop",NA,NA,NA,"BD",2025-05-05,2025-05-13,8,NA,NA,NA,NA,FALSE,0,NA,2026-05-05,NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2026-05-05,NA,NA,NA,NA
"186","san_2011",NA,NA,NA,"AK",2011-01-18,2012-12-14,696,NA,NA,NA,NA,FALSE,0,NA,2012-01-18,TRUE,TRUE,4,0.648,0.685,2011-12-15,2011-12-15,12,4,0.855,1,2012-11-09,2012-11-09,34,23,2012-01-18,34,34,35,35
